tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-C40-AUS-01A-2003b,2003,Australia Circuit 2 40K,CC,2003-03-03,,Grass,,,16,,,LS013,2003-03-03,R16,Monique Adamczak,Deanna Roberts,AUS,AUS,1.0,,6-7(5),6-3,7-5,,10293,180355,W-C40-AUS-01A-2003b,2003,Monique Adamczak,Deanna Roberts,AUS,AUS,1.0,,,Monique Adamczak,Deanna Roberts,3,"6-7(5),6-3,7-5",,2003-03-03,,Australia Circuit 2 40K,,,,,10293,,180355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003b,2003,Australia Circuit 2 40K,CC,2003-03-03,,Grass,,,16,,,LS012,2003-03-03,R16,Napaporn Tongsalee,Shelley Stephens,THA,NZL,,,6-3,6-2,,,200230,190530,W-C40-AUS-01A-2003b,2003,Napaporn Tongsalee,Shelley Stephens,THA,NZL,,,,Napaporn Tongsalee,Shelley Stephens,2,"6-3,6-2",,2003-03-03,,Australia Circuit 2 40K,,,,,200230,,190530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003b,2003,Australia Circuit 2 40K,CC,2003-03-03,,Grass,,,16,,,LS014,2003-03-03,R16,Sarah Borwell,Gabrielle Baker,GBR,AUS,3.0,,6-1,6-1,,,311025,20717,W-C40-AUS-01A-2003b,2003,Sarah Borwell,Gabrielle Baker,GBR,AUS,3.0,,,Sarah Borwell,Gabrielle Baker,2,"6-1,6-1",,2003-03-03,,Australia Circuit 2 40K,,,,,311025,,20717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003b,2003,Australia Circuit 2 40K,CC,2003-03-03,,Grass,,,16,,,LS015,2003-03-03,R16,Chia Jung Chuang,Antonia Matic,TPE,GER,,,6-4,6-0,,,310084,130710,W-C40-AUS-01A-2003b,2003,Chia Jung Chuang,Antonia Matic,TPE,GER,,,,Chia Jung Chuang,Antonia Matic,2,"6-4,6-0",,2003-03-03,,Australia Circuit 2 40K,,,,,310084,,130710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003b,2003,Australia Circuit 2 40K,CC,2003-03-03,,Grass,,,16,,,LS010,2003-03-03,R16,Lauren Breadmore,I Ting Wang,AUS,TPE,,,6-1,3-6,7-6(2),,20603,230237,W-C40-AUS-01A-2003b,2003,Lauren Breadmore,I Ting Wang,AUS,TPE,,,,Lauren Breadmore,I Ting Wang,3,"6-1,3-6,7-6(2)",,2003-03-03,,Australia Circuit 2 40K,,,,,20603,,230237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003b,2003,Australia Circuit 2 40K,CC,2003-03-03,,Grass,,,16,,,LS011,2003-03-03,R16,Kristen Van Elden,Chin Wei Chan,AUS,TPE,,4.0,7-5,2-6,6-2,,220250,310083,W-C40-AUS-01A-2003b,2003,Kristen Van Elden,Chin Wei Chan,AUS,TPE,,4.0,,Kristen Van Elden,Chin Wei Chan,3,"7-5,2-6,6-2",,2003-03-03,,Australia Circuit 2 40K,,,,,220250,,310083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003b,2003,Australia Circuit 2 40K,CC,2003-03-03,,Grass,,,16,,,LS009,2003-03-03,R16,Andrea Van Den Hurk,Nicole Sewell,NED,AUS,,,6-3,7-5,,,220206,190738,W-C40-AUS-01A-2003b,2003,Andrea Van Den Hurk,Nicole Sewell,NED,AUS,,,,Andrea Van Den Hurk,Nicole Sewell,2,"6-3,7-5",,2003-03-03,,Australia Circuit 2 40K,,,,,220206,,190738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003b,2003,Australia Circuit 2 40K,CC,2003-03-03,,Grass,,,16,,,LS008,2003-03-03,R16,Lisa Mcshea,Maika Ozaki,AUS,JPN,2.0,,6-4,6-2,,,130333,310644,W-C40-AUS-01A-2003b,2003,Lisa Mcshea,Maika Ozaki,AUS,JPN,2.0,,,Lisa Mcshea,Maika Ozaki,2,"6-4,6-2",,2003-03-03,,Australia Circuit 2 40K,,,,,130333,,310644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003b,2003,Australia Circuit 2 40K,CC,2003-03-03,,Grass,,,16,,,LS006,2003-03-03,QF,Napaporn Tongsalee,Monique Adamczak,THA,AUS,,1.0,6-4,6-2,,,200230,10293,W-C40-AUS-01A-2003b,2003,Napaporn Tongsalee,Monique Adamczak,THA,AUS,,1.0,,Napaporn Tongsalee,Monique Adamczak,2,"6-4,6-2",,2003-03-03,,Australia Circuit 2 40K,,,,,200230,,10293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-2003b,2003,Australia Circuit 2 40K,CC,2003-03-03,,Grass,,,16,,,LS007,2003-03-03,QF,Sarah Borwell,Chia Jung Chuang,GBR,TPE,3.0,,4-6,6-1,7-6(6),,311025,310084,W-C40-AUS-01A-2003b,2003,Sarah Borwell,Chia Jung Chuang,GBR,TPE,3.0,,,Sarah Borwell,Chia Jung Chuang,3,"4-6,6-1,7-6(6)",,2003-03-03,,Australia Circuit 2 40K,,,,,311025,,310084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
