tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T4-SLO-01A-2006,2006,Portoroz,T4,2006-09-18,,Hard,,,32,,,LS026,2006-09-18,R32,Martina Sucha,Katarina Srebotnik,SVK,SLO,,1.0,4-6,6-4,6-4,,190295,190636,W-T4-SLO-01A-2006,2006,Martina Sucha,Katarina Srebotnik,SVK,SLO,,1.0,,Martina Sucha,Katarina Srebotnik,3,"4-6,6-4,6-4",,2006-09-18,,Portoroz,,,,,190295,,190636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-SLO-01A-2006,2006,Portoroz,T4,2006-09-18,,Hard,,,32,,,LS027,2006-09-18,R32,Maret Ani,Camille Pin,EST,FRA,,,6-4,7-6(3),,,10278,160363,W-T4-SLO-01A-2006,2006,Maret Ani,Camille Pin,EST,FRA,,,,Maret Ani,Camille Pin,2,"6-4,7-6(3)",,2006-09-18,,Portoroz,,,,,10278,,160363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-SLO-01A-2006,2006,Portoroz,T4,2006-09-18,,Hard,,,32,,,LS025,2006-09-18,R32,Tsvetana Pironkova,Sanja Ancic,BUL,CRO,,,6-1,6-1,,,311041,312164,W-T4-SLO-01A-2006,2006,Tsvetana Pironkova,Sanja Ancic,BUL,CRO,,,,Tsvetana Pironkova,Sanja Ancic,2,"6-1,6-1",,2006-09-18,,Portoroz,,,,,311041,,312164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-SLO-01A-2006,2006,Portoroz,T4,2006-09-18,,Hard,,,32,,,LS024,2006-09-18,R32,Maria Elena Camerin,Ivana Lisjak,ITA,CRO,6.0,,6-1,7-6(0),,,30462,310113,W-T4-SLO-01A-2006,2006,Maria Elena Camerin,Ivana Lisjak,ITA,CRO,6.0,,,Maria Elena Camerin,Ivana Lisjak,2,"6-1,7-6(0)",,2006-09-18,,Portoroz,,,,,30462,,310113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-SLO-01A-2006,2006,Portoroz,T4,2006-09-18,,Hard,,,32,,,LS030,2006-09-18,R32,Martina Muller,Karin Knapp,GER,ITA,4.0,,6-7(6),6-3,7-6(6),,130631,311299,W-T4-SLO-01A-2006,2006,Martina Muller,Karin Knapp,GER,ITA,4.0,,,Martina Muller,Karin Knapp,3,"6-7(6),6-3,7-6(6)",,2006-09-18,,Portoroz,,,,,130631,,311299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-SLO-01A-2006,2006,Portoroz,T4,2006-09-18,,Hard,,,32,,,LS031,2006-09-18,R32,Renata Voracova,Kristina Barrois,CZE,GER,,,3-6,6-4,6-4,,220277,312578,W-T4-SLO-01A-2006,2006,Renata Voracova,Kristina Barrois,CZE,GER,,,LL,Renata Voracova,Kristina Barrois,3,"3-6,6-4,6-4",,2006-09-18,,Portoroz,,,,,220277,,312578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-SLO-01A-2006,2006,Portoroz,T4,2006-09-18,,Hard,,,32,,,LS029,2006-09-18,R32,Emmanuelle Gagliardi,Katerina Bohmova,SUI,CZE,,,7-5,6-3,,,70245,310979,W-T4-SLO-01A-2006,2006,Emmanuelle Gagliardi,Katerina Bohmova,SUI,CZE,,,,Emmanuelle Gagliardi,Katerina Bohmova,2,"7-5,6-3",,2006-09-18,,Portoroz,,,,,70245,,310979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-SLO-01A-2006,2006,Portoroz,T4,2006-09-18,,Hard,,,32,,,LS028,2006-09-18,R32,Tathiana Garbin,Klara Koukalova,ITA,CZE,8.0,,6-3,7-5,,,30348,110492,W-T4-SLO-01A-2006,2006,Tathiana Garbin,Klara Koukalova,ITA,CZE,8.0,,,Tathiana Garbin,Klara Koukalova,2,"6-3,7-5",,2006-09-18,,Portoroz,,,,,30348,,110492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-SLO-01A-2006,2006,Portoroz,T4,2006-09-18,,Hard,,,32,,,LS019,2006-09-18,R32,Romina Oprandi,Julia Schruff,SUI,GER,5.0,,6-3,7-5,,,150185,190711,W-T4-SLO-01A-2006,2006,Romina Oprandi,Julia Schruff,SUI,GER,5.0,,,Romina Oprandi,Julia Schruff,2,"6-3,7-5",,2006-09-18,,Portoroz,,,,,150185,,190711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-SLO-01A-2006,2006,Portoroz,T4,2006-09-18,,Hard,,,32,,,LS018,2006-09-18,R32,Andreja Klepac,Tadeja Majeric,SLO,SLO,,,6-4,7-5,,,312041,313051,W-T4-SLO-01A-2006,2006,Andreja Klepac,Tadeja Majeric,SLO,SLO,,,WC,Andreja Klepac,Tadeja Majeric,2,"6-4,7-5",,2006-09-18,,Portoroz,,,,,312041,,313051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
