tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T3-CRO-01A-2000,2000,Bol,T3,2000-05-01,,Clay,,,30,,,LS017,2000-05-01,R32,Silvija Talaja,Cristina Torrens Valero,CRO,ESP,4.0,,6-3,6-0,,,200160,200122,W-T3-CRO-01A-2000,2000,Silvija Talaja,Cristina Torrens Valero,CRO,ESP,4.0,,,Silvija Talaja,Cristina Torrens Valero,2,"6-3,6-0",,2000-05-01,,Bol,,,,,200160,,200122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-CRO-01A-2000,2000,Bol,T3,2000-05-01,,Clay,,,30,,,LS020,2000-05-01,R32,Maria Sanchez Lorenzo,Silvia Farina Elia,ESP,ITA,,6.0,6-2,6-4,,,190435,60061,W-T3-CRO-01A-2000,2000,Maria Sanchez Lorenzo,Silvia Farina Elia,ESP,ITA,,6.0,,Maria Sanchez Lorenzo,Silvia Farina Elia,2,"6-2,6-4",,2000-05-01,,Bol,,,,,190435,,60061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-CRO-01A-2000,2000,Bol,T3,2000-05-01,,Clay,,,30,,,LS021,2000-05-01,R32,Virginie Razzano,Ivana Abramovic,FRA,CRO,,,6-3,6-4,,,180384,10327,W-T3-CRO-01A-2000,2000,Virginie Razzano,Ivana Abramovic,FRA,CRO,,,WC,Virginie Razzano,Ivana Abramovic,2,"6-3,6-4",,2000-05-01,,Bol,,,,,180384,,10327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-CRO-01A-2000,2000,Bol,T3,2000-05-01,,Clay,,,30,,,LS023,2000-05-01,R32,Jelena Kostanic Tosic,Magdalena Maleeva,CRO,BUL,,,6-3,6-0,,,110380,130245,W-T3-CRO-01A-2000,2000,Jelena Kostanic Tosic,Magdalena Maleeva,CRO,BUL,,,,Jelena Kostanic Tosic,Magdalena Maleeva,2,"6-3,6-0",,2000-05-01,,Bol,,,,,110380,,130245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-CRO-01A-2000,2000,Bol,T3,2000-05-01,,Clay,,,30,,,LS014,2000-05-01,R16,Gala Leon Garcia,Julie Halard Decugis,ESP,FRA,,1.0,6-3,6-1,,,120176,80005,W-T3-CRO-01A-2000,2000,Gala Leon Garcia,Julie Halard Decugis,ESP,FRA,,1.0,,Gala Leon Garcia,Julie Halard Decugis,2,"6-3,6-1",,2000-05-01,,Bol,,,,,120176,,80005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-CRO-01A-2000,2000,Bol,T3,2000-05-01,,Clay,,,30,,,LS015,2000-05-01,R16,Paola Suarez,Nadejda Ostrovskaya,ARG,BLR,7.0,,6-2,6-3,,,190360,150137,W-T3-CRO-01A-2000,2000,Paola Suarez,Nadejda Ostrovskaya,ARG,BLR,7.0,,,Paola Suarez,Nadejda Ostrovskaya,2,"6-2,6-3",,2000-05-01,,Bol,,,,,190360,,150137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-CRO-01A-2000,2000,Bol,T3,2000-05-01,,Clay,,,30,,,LS012,2000-05-01,R16,Amelie Mauresmo,Katarina Srebotnik,FRA,SLO,3.0,,6-3,6-2,,,130450,190636,W-T3-CRO-01A-2000,2000,Amelie Mauresmo,Katarina Srebotnik,FRA,SLO,3.0,,,Amelie Mauresmo,Katarina Srebotnik,2,"6-3,6-2",,2000-05-01,,Bol,,,,,130450,,190636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-CRO-01A-2000,2000,Bol,T3,2000-05-01,,Clay,,,30,,,LS013,2000-05-01,R16,Corina Morariu,Emmanuelle Gagliardi,USA,SUI,5.0,,7-6(6),6-2,,,130483,70245,W-T3-CRO-01A-2000,2000,Corina Morariu,Emmanuelle Gagliardi,USA,SUI,5.0,,,Corina Morariu,Emmanuelle Gagliardi,2,"7-6(6),6-2",,2000-05-01,,Bol,,,,,130483,,70245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-CRO-01A-2000,2000,Bol,T3,2000-05-01,,Clay,,,30,,,LS009,2000-05-01,R16,Angeles Montolio,Cara Black,ESP,ZIM,,8.0,7-5,6-3,,,130324,20351,W-T3-CRO-01A-2000,2000,Angeles Montolio,Cara Black,ESP,ZIM,,8.0,,Angeles Montolio,Cara Black,2,"7-5,6-3",,2000-05-01,,Bol,,,,,130324,,20351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-CRO-01A-2000,2000,Bol,T3,2000-05-01,,Clay,,,30,,,LS008,2000-05-01,R16,Tina Pisnik,Silvija Talaja,SLO,CRO,,4.0,6-4,6-4,,,160339,200160,W-T3-CRO-01A-2000,2000,Tina Pisnik,Silvija Talaja,SLO,CRO,,4.0,,Tina Pisnik,Silvija Talaja,2,"6-4,6-4",,2000-05-01,,Bol,,,,,160339,,200160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-CRO-01A-2000,2000,Bol,T3,2000-05-01,,Clay,,,30,,,LS010,2000-05-01,R16,Maria Sanchez Lorenzo,Virginie Razzano,ESP,FRA,,,7-6(7),5-7,6-1,,190435,180384,W-T3-CRO-01A-2000,2000,Maria Sanchez Lorenzo,Virginie Razzano,ESP,FRA,,,,Maria Sanchez Lorenzo,Virginie Razzano,3,"7-6(7),5-7,6-1",,2000-05-01,,Bol,,,,,190435,,180384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-CRO-01A-2000,2000,Bol,T3,2000-05-01,,Clay,,,30,,,LS011,2000-05-01,R16,Sandrine Testud,Jelena Kostanic Tosic,FRA,CRO,2.0,,7-5,6-2,,,200109,110380,W-T3-CRO-01A-2000,2000,Sandrine Testud,Jelena Kostanic Tosic,FRA,CRO,2.0,,,Sandrine Testud,Jelena Kostanic Tosic,2,"7-5,6-2",,2000-05-01,,Bol,,,,,200109,,110380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-CRO-01A-2000,2000,Bol,T3,2000-05-01,,Clay,,,30,,,LS007,2000-05-01,QF,Gala Leon Garcia,Paola Suarez,ESP,ARG,,7.0,6-7(4),7-5,7-6(5),,120176,190360,W-T3-CRO-01A-2000,2000,Gala Leon Garcia,Paola Suarez,ESP,ARG,,7.0,,Gala Leon Garcia,Paola Suarez,3,"6-7(4),7-5,7-6(5)",,2000-05-01,,Bol,,,,,120176,,190360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
