tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-WT-ESP-01A-1999,1999,Madrid,W,1999-05-18,,Clay,,,30,,,LS017,1999-05-18,R32,Gala Leon Garcia,Jane Chi,ESP,USA,,,6-1,6-0,,,120176,30304,W-WT-ESP-01A-1999,1999,Gala Leon Garcia,Jane Chi,ESP,USA,,,,Gala Leon Garcia,Jane Chi,2,"6-1,6-0",,1999-05-18,,Madrid,,,,,120176,,30304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ESP-01A-1999,1999,Madrid,W,1999-05-18,,Clay,,,30,,,LS019,1999-05-18,R32,Nicole Pratt,Rita Kuti Kis,AUS,HUN,,,6-4,7-5,,,160078,110266,W-WT-ESP-01A-1999,1999,Nicole Pratt,Rita Kuti Kis,AUS,HUN,,,Q,Nicole Pratt,Rita Kuti Kis,2,"6-4,7-5",,1999-05-18,,Madrid,,,,,160078,,110266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ESP-01A-1999,1999,Madrid,W,1999-05-18,,Clay,,,30,,,LS018,1999-05-18,R32,Anna Smashnova,Fabiola Zuluaga,ISR,COL,9.0,,6-4,6-3,,,190361,260078,W-WT-ESP-01A-1999,1999,Anna Smashnova,Fabiola Zuluaga,ISR,COL,9.0,,,Anna Smashnova,Fabiola Zuluaga,2,"6-4,6-3",,1999-05-18,,Madrid,,,,,190361,,260078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ESP-01A-1999,1999,Madrid,W,1999-05-18,,Clay,,,30,,,LS022,1999-05-18,R32,Silvia Farina Elia,Silvija Talaja,ITA,CRO,5.0,,6-4,6-4,,,60061,200160,W-WT-ESP-01A-1999,1999,Silvia Farina Elia,Silvija Talaja,ITA,CRO,5.0,,,Silvia Farina Elia,Silvija Talaja,2,"6-4,6-4",,1999-05-18,,Madrid,,,,,60061,,200160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ESP-01A-1999,1999,Madrid,W,1999-05-18,,Clay,,,30,,,LS023,1999-05-18,R32,Rita Grande,Marta Marrero,ITA,ESP,,,6-2,7-6,,,70192,130616,W-WT-ESP-01A-1999,1999,Rita Grande,Marta Marrero,ITA,ESP,,,,Rita Grande,Marta Marrero,2,"6-2,7-6",,1999-05-18,,Madrid,,,,,70192,,130616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ESP-01A-1999,1999,Madrid,W,1999-05-18,,Clay,,,30,,,LS021,1999-05-18,R32,Olga Barabanschikova,Kimberly Po Messerli,BLR,USA,,,6-3,6-3,,,20442,160101,W-WT-ESP-01A-1999,1999,Olga Barabanschikova,Kimberly Po Messerli,BLR,USA,,,,Olga Barabanschikova,Kimberly Po Messerli,2,"6-3,6-3",,1999-05-18,,Madrid,,,,,20442,,160101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ESP-01A-1999,1999,Madrid,W,1999-05-18,,Clay,,,30,,,LS020,1999-05-18,R32,Amy Frazier,Maria Sanchez Lorenzo,USA,ESP,7.0,,6-3,2-6,7-5,,60034,190435,W-WT-ESP-01A-1999,1999,Amy Frazier,Maria Sanchez Lorenzo,USA,ESP,7.0,,,Amy Frazier,Maria Sanchez Lorenzo,3,"6-3,2-6,7-5",,1999-05-18,,Madrid,,,,,60034,,190435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ESP-01A-1999,1999,Madrid,W,1999-05-18,,Clay,,,30,,,LS031,1999-05-18,R32,Tara Snyder,Virginia Ruano Pascual,USA,ESP,,8,3-6,6-4,6-4,,190571,180160,W-WT-ESP-01A-1999,1999,Tara Snyder,Virginia Ruano Pascual,USA,ESP,,8,,Tara Snyder,Virginia Ruano Pascual,3,"3-6,6-4,6-4",,1999-05-18,,Madrid,,,,,190571,,180160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ESP-01A-1999,1999,Madrid,W,1999-05-18,,Clay,,,30,,,LS030,1999-05-18,R32,Emmanuelle Gagliardi,Meghann Shaughnessy,SUI,USA,,,6-4,6-0,,,70245,190565,W-WT-ESP-01A-1999,1999,Emmanuelle Gagliardi,Meghann Shaughnessy,SUI,USA,,,Q,Emmanuelle Gagliardi,Meghann Shaughnessy,2,"6-4,6-0",,1999-05-18,,Madrid,,,,,70245,,190565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ESP-01A-1999,1999,Madrid,W,1999-05-18,,Clay,,,30,,,LS029,1999-05-18,R32,Marlene Weingartner,Kristina Brandi,GER,PUR,,,5-7,6-4,6-2,,230202,20323,W-WT-ESP-01A-1999,1999,Marlene Weingartner,Kristina Brandi,GER,PUR,,,,Marlene Weingartner,Kristina Brandi,3,"5-7,6-4,6-2",,1999-05-18,,Madrid,,,,,230202,,20323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
