tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-WT-USA-12A-1995,1995,Philadelphia,W,1995-11-06,,Carpet,,,28,,,LS025,1995-11-06,R32,Lisa Raymond,Helena Sukova,USA,CZE,,,1-6,6-4,7-6,,180144,,W-WT-USA-12A-1995,1995,Lisa Raymond,Helena Sukova,USA,CZE,,,,Lisa Raymond,Helena Sukova,3,"1-6,6-4,7-6",,1995-11-06,,Philadelphia,,,,,180144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-12A-1995,1995,Philadelphia,W,1995-11-06,,Carpet,,,28,,,LS027,1995-11-06,R32,Nathalie Tauziat,Julie Halard Decugis,FRA,FRA,,,6-4,6-4,,,200011,80005,W-WT-USA-12A-1995,1995,Nathalie Tauziat,Julie Halard Decugis,FRA,FRA,,,,Nathalie Tauziat,Julie Halard Decugis,2,"6-4,6-4",,1995-11-06,,Philadelphia,,,,,200011,,80005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-12A-1995,1995,Philadelphia,W,1995-11-06,,Carpet,,,28,,,LS008,1995-11-06,R16,Steffi Graf,Amy Frazier,GER,USA,1.0,,2-6,6-4,6-2,,,60034,W-WT-USA-12A-1995,1995,Steffi Graf,Amy Frazier,GER,USA,1.0,,,Steffi Graf,Amy Frazier,3,"2-6,6-4,6-2",,1995-11-06,,Philadelphia,,,,,,,60034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-12A-1995,1995,Philadelphia,W,1995-11-06,,Carpet,,,28,,,LS009,1995-11-06,R16,Meredith Mcgrath,Chanda Rubin,USA,USA,,8.0,6-3,6-1,,,,180175,W-WT-USA-12A-1995,1995,Meredith Mcgrath,Chanda Rubin,USA,USA,,8.0,Q,Meredith Mcgrath,Chanda Rubin,2,"6-3,6-1",,1995-11-06,,Philadelphia,,,,,,,180175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-12A-1995,1995,Philadelphia,W,1995-11-06,,Carpet,,,28,,,LS010,1995-11-06,R16,Zina Garrison,Mary Pierce,USA,FRA,,3.0,6-3,7-5,,,,160142,W-WT-USA-12A-1995,1995,Zina Garrison,Mary Pierce,USA,FRA,,3.0,,Zina Garrison,Mary Pierce,2,"6-3,7-5",,1995-11-06,,Philadelphia,,,,,,,160142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-12A-1995,1995,Philadelphia,W,1995-11-06,,Carpet,,,28,,,LS011,1995-11-06,R16,Irina Spirlea,Natalia Zvereva,ROU,BLR,,9.0,6-2,1-6,6-1,,190185,,W-WT-USA-12A-1995,1995,Irina Spirlea,Natalia Zvereva,ROU,BLR,,9.0,,Irina Spirlea,Natalia Zvereva,3,"6-2,1-6,6-1",,1995-11-06,,Philadelphia,,,,,190185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-12A-1995,1995,Philadelphia,W,1995-11-06,,Carpet,,,28,,,LS014,1995-11-06,R16,Anke Huber,Martina Hingis,GER,SUI,7.0,,2-6,6-1,6-2,,80150,80301,W-WT-USA-12A-1995,1995,Anke Huber,Martina Hingis,GER,SUI,7.0,,,Anke Huber,Martina Hingis,3,"2-6,6-1,6-2",,1995-11-06,,Philadelphia,,,,,80150,,80301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-12A-1995,1995,Philadelphia,W,1995-11-06,,Carpet,,,28,,,LS015,1995-11-06,R16,Gabriela Sabatini,Brenda Schultz Mccarthy,ARG,NED,4.0,,6-3,7-6,,,,190038,W-WT-USA-12A-1995,1995,Gabriela Sabatini,Brenda Schultz Mccarthy,ARG,NED,4.0,,,Gabriela Sabatini,Brenda Schultz Mccarthy,2,"6-3,7-6",,1995-11-06,,Philadelphia,,,,,,,190038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-12A-1995,1995,Philadelphia,W,1995-11-06,,Carpet,,,28,,,LS012,1995-11-06,R16,Lori Mcneil,Lisa Raymond,USA,USA,,,6-4,7-5,,,,180144,W-WT-USA-12A-1995,1995,Lori Mcneil,Lisa Raymond,USA,USA,,,,Lori Mcneil,Lisa Raymond,2,"6-4,7-5",,1995-11-06,,Philadelphia,,,,,,,180144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-12A-1995,1995,Philadelphia,W,1995-11-06,,Carpet,,,28,,,LS013,1995-11-06,R16,Conchita Martinez,Nathalie Tauziat,ESP,FRA,2.0,,4-6,6-1,6-4,,130113,200011,W-WT-USA-12A-1995,1995,Conchita Martinez,Nathalie Tauziat,ESP,FRA,2.0,,,Conchita Martinez,Nathalie Tauziat,3,"4-6,6-1,6-4",,1995-11-06,,Philadelphia,,,,,130113,,200011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-12A-1995,1995,Philadelphia,W,1995-11-06,,Carpet,,,28,,,LS004,1995-11-06,QF,Steffi Graf,Meredith Mcgrath,GER,USA,1.0,,6-3,6-2,,,,,W-WT-USA-12A-1995,1995,Steffi Graf,Meredith Mcgrath,GER,USA,1.0,,,Steffi Graf,Meredith Mcgrath,2,"6-3,6-2",,1995-11-06,,Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-12A-1995,1995,Philadelphia,W,1995-11-06,,Carpet,,,28,,,LS005,1995-11-06,QF,Zina Garrison,Irina Spirlea,USA,ROU,,,6-1,5-7,6-4,,,190185,W-WT-USA-12A-1995,1995,Zina Garrison,Irina Spirlea,USA,ROU,,,,Zina Garrison,Irina Spirlea,3,"6-1,5-7,6-4",,1995-11-06,,Philadelphia,,,,,,,190185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-12A-1995,1995,Philadelphia,W,1995-11-06,,Carpet,,,28,,,LS007,1995-11-06,QF,Anke Huber,Gabriela Sabatini,GER,ARG,7.0,4.0,7-5,6-2,,,80150,,W-WT-USA-12A-1995,1995,Anke Huber,Gabriela Sabatini,GER,ARG,7.0,4.0,,Anke Huber,Gabriela Sabatini,2,"7-5,6-2",,1995-11-06,,Philadelphia,,,,,80150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
