tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-C40-JPN-01A-1996d,1996,Ibaraki 4 10K,CC,1996-09-28,,Hard,,,32,,,LS008,1996-09-28,R16,Keiko Nagatomi,Anori Fukuda,JPN,JPN,5.0,,6-1,6-0,,,140089,,W-C40-JPN-01A-1996d,1996,Keiko Nagatomi,Anori Fukuda,JPN,JPN,5.0,,,Keiko Nagatomi,Anori Fukuda,2,"6-1,6-0",,1996-09-28,,Ibaraki 4 10K,,,,,140089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1996d,1996,Ibaraki 4 10K,CC,1996-09-28,,Hard,,,32,,,LS011,1996-09-28,R16,Jenny Ann Fetch,Keiko Ishida,AUS,JPN,,3.0,6-1,6-3,,,,90057,W-C40-JPN-01A-1996d,1996,Jenny Ann Fetch,Keiko Ishida,AUS,JPN,,3.0,,Jenny Ann Fetch,Keiko Ishida,2,"6-1,6-3",,1996-09-28,,Ibaraki 4 10K,,,,,,,90057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1996d,1996,Ibaraki 4 10K,CC,1996-09-28,,Hard,,,32,,,LS010,1996-09-28,R16,Kildine Chevalier,Miyako Ataka,FRA,JPN,,8.0,6-3,6-4,,,30386,10076,W-C40-JPN-01A-1996d,1996,Kildine Chevalier,Miyako Ataka,FRA,JPN,,8.0,,Kildine Chevalier,Miyako Ataka,2,"6-3,6-4",,1996-09-28,,Ibaraki 4 10K,,,,,30386,,10076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1996d,1996,Ibaraki 4 10K,CC,1996-09-28,,Hard,,,32,,,LS014,1996-09-28,R16,Akiko Morigami,Yuki Fujii,JPN,JPN,,,6-3,6-4,,,130541,,W-C40-JPN-01A-1996d,1996,Akiko Morigami,Yuki Fujii,JPN,JPN,,,WC,Akiko Morigami,Yuki Fujii,2,"6-3,6-4",,1996-09-28,,Ibaraki 4 10K,,,,,130541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1996d,1996,Ibaraki 4 10K,CC,1996-09-28,,Hard,,,32,,,LS015,1996-09-28,R16,Ayami Takase,Lana Scardigno,JPN,AUS,,,6-2,6-2,,,200245,,W-C40-JPN-01A-1996d,1996,Ayami Takase,Lana Scardigno,JPN,AUS,,,,Ayami Takase,Lana Scardigno,2,"6-2,6-2",,1996-09-28,,Ibaraki 4 10K,,,,,200245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1996d,1996,Ibaraki 4 10K,CC,1996-09-28,,Hard,,,32,,,LS012,1996-09-28,R16,Maiko Inoue,Sachie Umehara,JPN,JPN,,,6-3,7-5,,,90069,210028,W-C40-JPN-01A-1996d,1996,Maiko Inoue,Sachie Umehara,JPN,JPN,,,Q,Maiko Inoue,Sachie Umehara,2,"6-3,7-5",,1996-09-28,,Ibaraki 4 10K,,,,,90069,,210028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1996d,1996,Ibaraki 4 10K,CC,1996-09-28,,Hard,,,32,,,LS013,1996-09-28,R16,Yuka Tanaka,Kiyoko Yazawa,JPN,JPN,,2.0,6-4,6-3,,,,,W-C40-JPN-01A-1996d,1996,Yuka Tanaka,Kiyoko Yazawa,JPN,JPN,,2.0,,Yuka Tanaka,Kiyoko Yazawa,2,"6-4,6-3",,1996-09-28,,Ibaraki 4 10K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1996d,1996,Ibaraki 4 10K,CC,1996-09-28,,Hard,,,32,,,LS004,1996-09-28,QF,Keiko Nagatomi,Shinobu Asagoe,JPN,JPN,5.0,,7-6,6-1,,,140089,10209,W-C40-JPN-01A-1996d,1996,Keiko Nagatomi,Shinobu Asagoe,JPN,JPN,5.0,,,Keiko Nagatomi,Shinobu Asagoe,2,"7-6,6-1",,1996-09-28,,Ibaraki 4 10K,,,,,140089,,10209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1996d,1996,Ibaraki 4 10K,CC,1996-09-28,,Hard,,,32,,,LS005,1996-09-28,QF,Kildine Chevalier,Jenny Ann Fetch,FRA,AUS,,,7-5,5-7,6-2,,30386,,W-C40-JPN-01A-1996d,1996,Kildine Chevalier,Jenny Ann Fetch,FRA,AUS,,,,Kildine Chevalier,Jenny Ann Fetch,3,"7-5,5-7,6-2",,1996-09-28,,Ibaraki 4 10K,,,,,30386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1996d,1996,Ibaraki 4 10K,CC,1996-09-28,,Hard,,,32,,,LS007,1996-09-28,QF,Akiko Morigami,Ayami Takase,JPN,JPN,,,6-1,4-6,6-1,,130541,200245,W-C40-JPN-01A-1996d,1996,Akiko Morigami,Ayami Takase,JPN,JPN,,,WC,Akiko Morigami,Ayami Takase,3,"6-1,4-6,6-1",,1996-09-28,,Ibaraki 4 10K,,,,,130541,,200245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1996d,1996,Ibaraki 4 10K,CC,1996-09-28,,Hard,,,32,,,LS006,1996-09-28,QF,Maiko Inoue,Yuka Tanaka,JPN,JPN,,,4-6,6-3,6-1,,90069,,W-C40-JPN-01A-1996d,1996,Maiko Inoue,Yuka Tanaka,JPN,JPN,,,Q,Maiko Inoue,Yuka Tanaka,3,"4-6,6-3,6-1",,1996-09-28,,Ibaraki 4 10K,,,,,90069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-JPN-01A-1996d,1996,Ibaraki 4 10K,CC,1996-09-28,,Hard,,,32,,,LS002,1996-09-28,SF,Keiko Nagatomi,Kildine Chevalier,JPN,FRA,5.0,,6-3,6-3,,,140089,30386,W-C40-JPN-01A-1996d,1996,Keiko Nagatomi,Kildine Chevalier,JPN,FRA,5.0,,,Keiko Nagatomi,Kildine Chevalier,2,"6-3,6-3",,1996-09-28,,Ibaraki 4 10K,,,,,140089,,30386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
