tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-WT-POL-02A-1999,1999,Sopot,W,1999-07-12,,Clay,,,30,,,LS016,1999-07-12,R32,Conchita Martinez,Barbara Schwartz,ESP,AUT,3.0,,6-2,6-7,6-4,,130113,190539,W-WT-POL-02A-1999,1999,Conchita Martinez,Barbara Schwartz,ESP,AUT,3.0,,,Conchita Martinez,Barbara Schwartz,3,"6-2,6-7,6-4",,1999-07-12,,Sopot,,,,,130113,,190539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-POL-02A-1999,1999,Sopot,W,1999-07-12,,Clay,,,30,,,LS023,1999-07-12,R32,Silvia Farina Elia,Alexia Dechaume Balleret,ITA,FRA,5.0,,6-0,6-3,,,60061,,W-WT-POL-02A-1999,1999,Silvia Farina Elia,Alexia Dechaume Balleret,ITA,FRA,5.0,,,Silvia Farina Elia,Alexia Dechaume Balleret,2,"6-0,6-3",,1999-07-12,,Sopot,,,,,60061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-POL-02A-1999,1999,Sopot,W,1999-07-12,,Clay,,,30,,,LS022,1999-07-12,R32,Ludmila Cervanova,Amelie Cocheteux,SVK,FRA,,,7-5,6-0,,,30390,30347,W-WT-POL-02A-1999,1999,Ludmila Cervanova,Amelie Cocheteux,SVK,FRA,,,Q,Ludmila Cervanova,Amelie Cocheteux,2,"7-5,6-0",,1999-07-12,,Sopot,,,,,30390,,30347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-POL-02A-1999,1999,Sopot,W,1999-07-12,,Clay,,,30,,,LS021,1999-07-12,R32,Sandra Nacuk,Jelena Kostanic Tosic,SCG,CRO,,,6-3,6-4,,,140179,110380,W-WT-POL-02A-1999,1999,Sandra Nacuk,Jelena Kostanic Tosic,SCG,CRO,,,Q,Sandra Nacuk,Jelena Kostanic Tosic,2,"6-3,6-4",,1999-07-12,,Sopot,,,,,140179,,110380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-POL-02A-1999,1999,Sopot,W,1999-07-12,,Clay,,,30,,,LS015,1999-07-12,R16,Marlene Weingartner,Arantxa Sanchez Vicario,GER,ESP,,1,6-4,6-4,,,230202,190008,W-WT-POL-02A-1999,1999,Marlene Weingartner,Arantxa Sanchez Vicario,GER,ESP,,1,,Marlene Weingartner,Arantxa Sanchez Vicario,2,"6-4,6-4",,1999-07-12,,Sopot,,,,,230202,,190008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-POL-02A-1999,1999,Sopot,W,1999-07-12,,Clay,,,30,,,LS014,1999-07-12,R16,Silvija Talaja,Henrieta Nagyova,CRO,SVK,,6,6-2,4-1,,,200160,140145,W-WT-POL-02A-1999,1999,Silvija Talaja,Henrieta Nagyova,CRO,SVK,,6,,Silvija Talaja,Henrieta Nagyova,2,"6-2,4-1",,1999-07-12,,Sopot,,,,,200160,,140145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-POL-02A-1999,1999,Sopot,W,1999-07-12,,Clay,,,30,,,LS013,1999-07-12,R16,Cristina Torrens Valero,Natalia Zvereva,ESP,BLR,,4,6-3,6-4,,,200122,,W-WT-POL-02A-1999,1999,Cristina Torrens Valero,Natalia Zvereva,ESP,BLR,,4,,Cristina Torrens Valero,Natalia Zvereva,2,"6-3,6-4",,1999-07-12,,Sopot,,,,,200122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-POL-02A-1999,1999,Sopot,W,1999-07-12,,Clay,,,30,,,LS012,1999-07-12,R16,Karina Habsudova,Sabine Appelmans,SVK,BEL,,,6-3,6-4,,,80186,10021,W-WT-POL-02A-1999,1999,Karina Habsudova,Sabine Appelmans,SVK,BEL,,,,Karina Habsudova,Sabine Appelmans,2,"6-3,6-4",,1999-07-12,,Sopot,,,,,80186,,10021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-POL-02A-1999,1999,Sopot,W,1999-07-12,,Clay,,,30,,,LS009,1999-07-12,R16,Gala Leon Garcia,Barbara Rittner,ESP,GER,8.0,,6-0,1-6,7-5,,120176,180088,W-WT-POL-02A-1999,1999,Gala Leon Garcia,Barbara Rittner,ESP,GER,8.0,,,Gala Leon Garcia,Barbara Rittner,3,"6-0,1-6,7-5",,1999-07-12,,Sopot,,,,,120176,,180088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-POL-02A-1999,1999,Sopot,W,1999-07-12,,Clay,,,30,,,LS008,1999-07-12,R16,Conchita Martinez,Magdalena Grzybowska,ESP,POL,3.0,,6-1,6-1,,,130113,70322,W-WT-POL-02A-1999,1999,Conchita Martinez,Magdalena Grzybowska,ESP,POL,3.0,,,Conchita Martinez,Magdalena Grzybowska,2,"6-1,6-1",,1999-07-12,,Sopot,,,,,130113,,70322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-POL-02A-1999,1999,Sopot,W,1999-07-12,,Clay,,,30,,,LS011,1999-07-12,R16,Ludmila Cervanova,Silvia Farina Elia,SVK,ITA,,5,4-6,6-4,6-4,,30390,60061,W-WT-POL-02A-1999,1999,Ludmila Cervanova,Silvia Farina Elia,SVK,ITA,,5,Q,Ludmila Cervanova,Silvia Farina Elia,3,"4-6,6-4,6-4",,1999-07-12,,Sopot,,,,,30390,,60061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-POL-02A-1999,1999,Sopot,W,1999-07-12,,Clay,,,30,,,LS010,1999-07-12,R16,Sandrine Testud,Sandra Nacuk,FRA,SCG,2.0,,6-2,2-6,6-2,,200109,140179,W-WT-POL-02A-1999,1999,Sandrine Testud,Sandra Nacuk,FRA,SCG,2.0,,,Sandrine Testud,Sandra Nacuk,3,"6-2,2-6,6-2",,1999-07-12,,Sopot,,,,,200109,,140179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-POL-02A-1999,1999,Sopot,W,1999-07-12,,Clay,,,30,,,LS007,1999-07-12,QF,Silvija Talaja,Marlene Weingartner,CRO,GER,,,6-4,6-2,,,200160,230202,W-WT-POL-02A-1999,1999,Silvija Talaja,Marlene Weingartner,CRO,GER,,,,Silvija Talaja,Marlene Weingartner,2,"6-4,6-2",,1999-07-12,,Sopot,,,,,200160,,230202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
