tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-WT-JPN-05A-1993,1993,Sapporo,W,1993-09-28,,Carpet,,,32,,,LS025,1993-09-28,R32,Amanda Coetzer,Ai Sugiyama,RSA,JPN,1.0,,7-5,6-1,,,30037,190353,W-WT-JPN-05A-1993,1993,Amanda Coetzer,Ai Sugiyama,RSA,JPN,1.0,,,Amanda Coetzer,Ai Sugiyama,2,"7-5,6-1",,1993-09-28,,Sapporo,,,,,30037,,190353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-05A-1993,1993,Sapporo,W,1993-09-28,,Carpet,,,32,,,LS024,1993-09-28,R32,Irina Spirlea,Michelle Jaggard Lai,ROU,AUS,,,7-5,6-4,,,190185,,W-WT-JPN-05A-1993,1993,Irina Spirlea,Michelle Jaggard Lai,ROU,AUS,,,Q,Irina Spirlea,Michelle Jaggard Lai,2,"7-5,6-4",,1993-09-28,,Sapporo,,,,,190185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-05A-1993,1993,Sapporo,W,1993-09-28,,Carpet,,,32,,,LS027,1993-09-28,R32,Karin Kschwendt,Hiroko Mochizuki,AUT,JPN,,,6-2,6-0,,,110053,,W-WT-JPN-05A-1993,1993,Karin Kschwendt,Hiroko Mochizuki,AUT,JPN,,,,Karin Kschwendt,Hiroko Mochizuki,2,"6-2,6-0",,1993-09-28,,Sapporo,,,,,110053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-05A-1993,1993,Sapporo,W,1993-09-28,,Carpet,,,32,,,LS026,1993-09-28,R32,Mana Endo,Claire Wegink,JPN,NED,5.0,,6-2,6-3,,,,,W-WT-JPN-05A-1993,1993,Mana Endo,Claire Wegink,JPN,NED,5.0,,,Mana Endo,Claire Wegink,2,"6-2,6-3",,1993-09-28,,Sapporo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-05A-1993,1993,Sapporo,W,1993-09-28,,Carpet,,,32,,,LS031,1993-09-28,R32,Marianne Werdel Witmeyer,Chanda Rubin,USA,USA,4.0,,6-2,6-0,,,,180175,W-WT-JPN-05A-1993,1993,Marianne Werdel Witmeyer,Chanda Rubin,USA,USA,4.0,,,Marianne Werdel Witmeyer,Chanda Rubin,2,"6-2,6-0",,1993-09-28,,Sapporo,,,,,,,180175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-05A-1993,1993,Sapporo,W,1993-09-28,,Carpet,,,32,,,LS030,1993-09-28,R32,Shaun Stafford,Audra Keller,USA,USA,,,7-5,4-6,6-4,,,,W-WT-JPN-05A-1993,1993,Shaun Stafford,Audra Keller,USA,USA,,,,Shaun Stafford,Audra Keller,3,"7-5,4-6,6-4",,1993-09-28,,Sapporo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-05A-1993,1993,Sapporo,W,1993-09-28,,Carpet,,,32,,,LS029,1993-09-28,R32,Kyoko Nagatsuka,Cammy Macgregor,JPN,USA,,,6-3,5-7,6-3,,,,W-WT-JPN-05A-1993,1993,Kyoko Nagatsuka,Cammy Macgregor,JPN,USA,,,,Kyoko Nagatsuka,Cammy Macgregor,3,"6-3,5-7,6-3",,1993-09-28,,Sapporo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-05A-1993,1993,Sapporo,W,1993-09-28,,Carpet,,,32,,,LS028,1993-09-28,R32,Noelle Van Lottum,Angelica Gavaldon,FRA,MEX,,7.0,3-6,6-3,6-2,,,70103,W-WT-JPN-05A-1993,1993,Noelle Van Lottum,Angelica Gavaldon,FRA,MEX,,7.0,,Noelle Van Lottum,Angelica Gavaldon,3,"3-6,6-3,6-2",,1993-09-28,,Sapporo,,,,,,,70103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-05A-1993,1993,Sapporo,W,1993-09-28,,Carpet,,,32,,,LS020,1993-09-28,R32,Lisa Raymond,Donna Faber,USA,USA,6.0,,6-7,6-1,6-1,,180144,,W-WT-JPN-05A-1993,1993,Lisa Raymond,Donna Faber,USA,USA,6.0,,,Lisa Raymond,Donna Faber,3,"6-7,6-1,6-1",,1993-09-28,,Sapporo,,,,,180144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-JPN-05A-1993,1993,Sapporo,W,1993-09-28,,Carpet,,,32,,,LS021,1993-09-28,R32,Rika Hiraki,Halle Cioffi,JPN,USA,,,6-1,6-1,,,80037,,W-WT-JPN-05A-1993,1993,Rika Hiraki,Halle Cioffi,JPN,USA,,,WC,Rika Hiraki,Halle Cioffi,2,"6-1,6-1",,1993-09-28,,Sapporo,,,,,80037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
