tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-C40-AUS-01A-1999d,1999,Warrnambool 4 10K,CC,1999-02-27,,Grass,,,32,,,LS016,1999-02-27,R32,Kerry Anne Guse,Nina Nittinger,AUS,GER,1.0,,6-2,6-2,,,70084,140130,W-C40-AUS-01A-1999d,1999,Kerry Anne Guse,Nina Nittinger,AUS,GER,1.0,,,Kerry Anne Guse,Nina Nittinger,2,"6-2,6-2",,1999-02-27,,Warrnambool 4 10K,,,,,70084,,140130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-1999d,1999,Warrnambool 4 10K,CC,1999-02-27,,Grass,,,32,,,LS017,1999-02-27,R32,Nadia Johnston,Vanessa Kendall,AUS,AUS,,,6-2,6-4,,,100116,,W-C40-AUS-01A-1999d,1999,Nadia Johnston,Vanessa Kendall,AUS,AUS,,,,Nadia Johnston,Vanessa Kendall,2,"6-2,6-4",,1999-02-27,,Warrnambool 4 10K,,,,,100116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-1999d,1999,Warrnambool 4 10K,CC,1999-02-27,,Grass,,,32,,,LS019,1999-02-27,R32,Aniela Mojzis,Zsofia Golopencza,RSA,HUN,,,6-4,7-6,,,,,W-C40-AUS-01A-1999d,1999,Aniela Mojzis,Zsofia Golopencza,RSA,HUN,,,Q,Aniela Mojzis,Zsofia Golopencza,2,"6-4,7-6",,1999-02-27,,Warrnambool 4 10K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-1999d,1999,Warrnambool 4 10K,CC,1999-02-27,,Grass,,,32,,,LS018,1999-02-27,R32,Kate Warne Holland,Sarah Stone,GBR,AUS,6.0,,6-3,6-4,,,,190680,W-C40-AUS-01A-1999d,1999,Kate Warne Holland,Sarah Stone,GBR,AUS,6.0,,,Kate Warne Holland,Sarah Stone,2,"6-3,6-4",,1999-02-27,,Warrnambool 4 10K,,,,,,,190680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-1999d,1999,Warrnambool 4 10K,CC,1999-02-27,,Grass,,,32,,,LS022,1999-02-27,R32,Mareze Joubert,Rochelle Rosenfield,RSA,AUS,3.0,,6-4,6-4,,,100083,180289,W-C40-AUS-01A-1999d,1999,Mareze Joubert,Rochelle Rosenfield,RSA,AUS,3.0,,,Mareze Joubert,Rochelle Rosenfield,2,"6-4,6-4",,1999-02-27,,Warrnambool 4 10K,,,,,100083,,180289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-1999d,1999,Warrnambool 4 10K,CC,1999-02-27,,Grass,,,32,,,LS023,1999-02-27,R32,Mirielle Dittmann,Nicole Melch,AUS,AUT,,,6-4,7-5,,,,130439,W-C40-AUS-01A-1999d,1999,Mirielle Dittmann,Nicole Melch,AUS,AUT,,,,Mirielle Dittmann,Nicole Melch,2,"6-4,7-5",,1999-02-27,,Warrnambool 4 10K,,,,,,,130439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-1999d,1999,Warrnambool 4 10K,CC,1999-02-27,,Grass,,,32,,,LS020,1999-02-27,R32,Susan Cowan,Nicole Sewell,AUS,AUS,,,6-0,6-3,,,30444,190738,W-C40-AUS-01A-1999d,1999,Susan Cowan,Nicole Sewell,AUS,AUS,,,,Susan Cowan,Nicole Sewell,2,"6-0,6-3",,1999-02-27,,Warrnambool 4 10K,,,,,30444,,190738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-1999d,1999,Warrnambool 4 10K,CC,1999-02-27,,Grass,,,32,,,LS021,1999-02-27,R32,Kristen Van Elden,Leanne Baker,AUS,NZL,,7,7-6,6-2,,,220250,20492,W-C40-AUS-01A-1999d,1999,Kristen Van Elden,Leanne Baker,AUS,NZL,,7,,Kristen Van Elden,Leanne Baker,2,"7-6,6-2",,1999-02-27,,Warrnambool 4 10K,,,,,220250,,20492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-1999d,1999,Warrnambool 4 10K,CC,1999-02-27,,Grass,,,32,,,LS030,1999-02-27,R32,Tina Hergold,Zuzana Hejdova,SLO,CZE,,5,6-1,6-4,,,80366,80312,W-C40-AUS-01A-1999d,1999,Tina Hergold,Zuzana Hejdova,SLO,CZE,,5,Q,Tina Hergold,Zuzana Hejdova,2,"6-1,6-4",,1999-02-27,,Warrnambool 4 10K,,,,,80366,,80312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-C40-AUS-01A-1999d,1999,Warrnambool 4 10K,CC,1999-02-27,,Grass,,,32,,,LS031,1999-02-27,R32,Ella Ionescu,Tu Dong,USA,USA,,,5-7,6-3,7-6,,90088,,W-C40-AUS-01A-1999d,1999,Ella Ionescu,Tu Dong,USA,USA,,,Q,Ella Ionescu,Tu Dong,3,"5-7,6-3,7-6",,1999-02-27,,Warrnambool 4 10K,,,,,90088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
