tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T2-FRA-02A-2001,2001,Nice,T2,2001-02-12,,Carpet,,,28,,,LS021,2001-02-12,R32,Nathalie Dechy,Anca Barna,FRA,GER,,,6-0,6-3,,,40254,20113,W-T2-FRA-02A-2001,2001,Nathalie Dechy,Anca Barna,FRA,GER,,,,Nathalie Dechy,Anca Barna,2,"6-0,6-3",,2001-02-12,,Nice,,,,,40254,,20113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-02A-2001,2001,Nice,T2,2001-02-12,,Carpet,,,28,,,LS022,2001-02-12,R32,Silvia Farina Elia,Sarah Pitkowski Malcor,ITA,FRA,,,3-6,6-4,6-3,,60061,160200,W-T2-FRA-02A-2001,2001,Silvia Farina Elia,Sarah Pitkowski Malcor,ITA,FRA,,,,Silvia Farina Elia,Sarah Pitkowski Malcor,3,"3-6,6-4,6-3",,2001-02-12,,Nice,,,,,60061,,160200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-02A-2001,2001,Nice,T2,2001-02-12,,Carpet,,,28,,,LS014,2001-02-12,R16,Venus Williams,Anne Gaelle Sidot,USA,FRA,1.0,,7-6(3),7-6(6),,,230220,190564,W-T2-FRA-02A-2001,2001,Venus Williams,Anne Gaelle Sidot,USA,FRA,1.0,,,Venus Williams,Anne Gaelle Sidot,2,"7-6(3),7-6(6)",,2001-02-12,,Nice,,,,,230220,,190564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-02A-2001,2001,Nice,T2,2001-02-12,,Carpet,,,28,,,LS015,2001-02-12,R16,Meilen Tu,Magui Serna,USA,ESP,,,6-4,6-7(7),7-5,,200204,190482,W-T2-FRA-02A-2001,2001,Meilen Tu,Magui Serna,USA,ESP,,,,Meilen Tu,Magui Serna,3,"6-4,6-7(7),7-5",,2001-02-12,,Nice,,,,,200204,,190482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-02A-2001,2001,Nice,T2,2001-02-12,,Carpet,,,28,,,LS013,2001-02-12,R16,Elena Dementieva,Camille Pin,RUS,FRA,4.0,,6-3,6-4,,,40289,160363,W-T2-FRA-02A-2001,2001,Elena Dementieva,Camille Pin,RUS,FRA,4.0,,,Elena Dementieva,Camille Pin,2,"6-3,6-4",,2001-02-12,,Nice,,,,,40289,,160363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-02A-2001,2001,Nice,T2,2001-02-12,,Carpet,,,28,,,LS012,2001-02-12,R16,Magdalena Maleeva,Justine Henin,BUL,BEL,,8.0,7-6(3),4-6,6-4,,130245,80350,W-T2-FRA-02A-2001,2001,Magdalena Maleeva,Justine Henin,BUL,BEL,,8.0,,Magdalena Maleeva,Justine Henin,3,"7-6(3),4-6,6-4",,2001-02-12,,Nice,,,,,130245,,80350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-02A-2001,2001,Nice,T2,2001-02-12,,Carpet,,,28,,,LS008,2001-02-12,R16,Amelie Mauresmo,Kveta Peschke,FRA,CZE,7.0,,6-2,6-2,,,130450,80218,W-T2-FRA-02A-2001,2001,Amelie Mauresmo,Kveta Peschke,FRA,CZE,7.0,,,Amelie Mauresmo,Kveta Peschke,2,"6-2,6-2",,2001-02-12,,Nice,,,,,130450,,80218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-02A-2001,2001,Nice,T2,2001-02-12,,Carpet,,,28,,,LS009,2001-02-12,R16,Anne Kremer,Nathalie Tauziat,LUX,FRA,,3.0,6-3,6-4,,,110242,200011,W-T2-FRA-02A-2001,2001,Anne Kremer,Nathalie Tauziat,LUX,FRA,,3.0,,Anne Kremer,Nathalie Tauziat,2,"6-3,6-4",,2001-02-12,,Nice,,,,,110242,,200011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-02A-2001,2001,Nice,T2,2001-02-12,,Carpet,,,28,,,LS010,2001-02-12,R16,Anke Huber,Nathalie Dechy,GER,FRA,5.0,,6-2,4-6,6-3,,80150,40254,W-T2-FRA-02A-2001,2001,Anke Huber,Nathalie Dechy,GER,FRA,5.0,,,Anke Huber,Nathalie Dechy,3,"6-2,4-6,6-3",,2001-02-12,,Nice,,,,,80150,,40254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-02A-2001,2001,Nice,T2,2001-02-12,,Carpet,,,28,,,LS011,2001-02-12,R16,Silvia Farina Elia,Conchita Martinez,ITA,ESP,,2.0,6-2,6-2,,,60061,130113,W-T2-FRA-02A-2001,2001,Silvia Farina Elia,Conchita Martinez,ITA,ESP,,2.0,,Silvia Farina Elia,Conchita Martinez,2,"6-2,6-2",,2001-02-12,,Nice,,,,,60061,,130113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-02A-2001,2001,Nice,T2,2001-02-12,,Carpet,,,28,,,LS007,2001-02-12,QF,Venus Williams,Meilen Tu,USA,USA,1.0,,6-4,7-6(2),,,230220,200204,W-T2-FRA-02A-2001,2001,Venus Williams,Meilen Tu,USA,USA,1.0,,,Venus Williams,Meilen Tu,2,"6-4,7-6(2)",,2001-02-12,,Nice,,,,,230220,,200204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-02A-2001,2001,Nice,T2,2001-02-12,,Carpet,,,28,,,LS006,2001-02-12,QF,Magdalena Maleeva,Elena Dementieva,BUL,RUS,,4.0,6-3,6-3,,,130245,40289,W-T2-FRA-02A-2001,2001,Magdalena Maleeva,Elena Dementieva,BUL,RUS,,4.0,,Magdalena Maleeva,Elena Dementieva,2,"6-3,6-3",,2001-02-12,,Nice,,,,,130245,,40289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-FRA-02A-2001,2001,Nice,T2,2001-02-12,,Carpet,,,28,,,LS004,2001-02-12,QF,Amelie Mauresmo,Anne Kremer,FRA,LUX,7.0,,6-2,6-3,,,130450,110242,W-T2-FRA-02A-2001,2001,Amelie Mauresmo,Anne Kremer,FRA,LUX,7.0,,,Amelie Mauresmo,Anne Kremer,2,"6-2,6-3",,2001-02-12,,Nice,,,,,130450,,110242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
