tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T4-THA-01A-2006,2006,Pattaya,T4,2006-02-06,,Hard,,,32,,,LS021,2006-02-06,R32,Paola Suarez,Vera Zvonareva,ARG,RUS,,1.0,6-1,6-3,,,190360,260142,W-T4-THA-01A-2006,2006,Paola Suarez,Vera Zvonareva,ARG,RUS,,1.0,WC,Paola Suarez,Vera Zvonareva,2,"6-1,6-3",,2006-02-06,,Pattaya,,,,,190360,,260142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-THA-01A-2006,2006,Pattaya,T4,2006-02-06,,Hard,,,32,,,LS020,2006-02-06,R32,Sybille Bammer,Suchanun Viratprasert,AUT,THA,,,6-3,6-3,,,20463,220229,W-T4-THA-01A-2006,2006,Sybille Bammer,Suchanun Viratprasert,AUT,THA,,,,Sybille Bammer,Suchanun Viratprasert,2,"6-3,6-3",,2006-02-06,,Pattaya,,,,,20463,,220229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-THA-01A-2006,2006,Pattaya,T4,2006-02-06,,Hard,,,32,,,LS023,2006-02-06,R32,Ekaterina Bychkova,Henrieta Nagyova,RUS,SVK,,,6-1,7-5,,,20706,140145,W-T4-THA-01A-2006,2006,Ekaterina Bychkova,Henrieta Nagyova,RUS,SVK,,,,Ekaterina Bychkova,Henrieta Nagyova,2,"6-1,7-5",,2006-02-06,,Pattaya,,,,,20706,,140145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-THA-01A-2006,2006,Pattaya,T4,2006-02-06,,Hard,,,32,,,LS022,2006-02-06,R32,Melinda Czink,Jie Zheng,HUN,CHN,,6.0,6-0,6-2,,,30557,260144,W-T4-THA-01A-2006,2006,Melinda Czink,Jie Zheng,HUN,CHN,,6.0,,Melinda Czink,Jie Zheng,2,"6-0,6-2",,2006-02-06,,Pattaya,,,,,30557,,260144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-THA-01A-2006,2006,Pattaya,T4,2006-02-06,,Hard,,,32,,,LS016,2006-02-06,R32,Shahar Peer,So Jung Kim,ISR,KOR,4.0,,6-2,6-4,,,311168,310475,W-T4-THA-01A-2006,2006,Shahar Peer,So Jung Kim,ISR,KOR,4.0,,,Shahar Peer,So Jung Kim,2,"6-2,6-4",,2006-02-06,,Pattaya,,,,,311168,,310475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-THA-01A-2006,2006,Pattaya,T4,2006-02-06,,Hard,,,32,,,LS017,2006-02-06,R32,Maria Sanchez Lorenzo,Tamarine Tanasugarn,ESP,THA,,,3-6,6-4,6-2,,190435,200137,W-T4-THA-01A-2006,2006,Maria Sanchez Lorenzo,Tamarine Tanasugarn,ESP,THA,,,,Maria Sanchez Lorenzo,Tamarine Tanasugarn,3,"3-6,6-4,6-2",,2006-02-06,,Pattaya,,,,,190435,,200137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-THA-01A-2006,2006,Pattaya,T4,2006-02-06,,Hard,,,32,,,LS018,2006-02-06,R32,Lourdes Dominguez Lino,Alona Bondarenko,ESP,UKR,,,6-4,6-3,,,40300,20608,W-T4-THA-01A-2006,2006,Lourdes Dominguez Lino,Alona Bondarenko,ESP,UKR,,,,Lourdes Dominguez Lino,Alona Bondarenko,2,"6-4,6-3",,2006-02-06,,Pattaya,,,,,40300,,20608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-THA-01A-2006,2006,Pattaya,T4,2006-02-06,,Hard,,,32,,,LS019,2006-02-06,R32,Aiko Nakamura,Kaia Kanepi,JPN,EST,7.0,,6-7(8),6-3,6-3,,140219,110536,W-T4-THA-01A-2006,2006,Aiko Nakamura,Kaia Kanepi,JPN,EST,7.0,,,Aiko Nakamura,Kaia Kanepi,3,"6-7(8),6-3,6-3",,2006-02-06,,Pattaya,,,,,140219,,110536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-THA-01A-2006,2006,Pattaya,T4,2006-02-06,,Hard,,,32,,,LS028,2006-02-06,R32,Nuria Llagostera Vives,Rika Fujiwara,ESP,JPN,5.0,,6-1,6-2,,,120317,60284,W-T4-THA-01A-2006,2006,Nuria Llagostera Vives,Rika Fujiwara,ESP,JPN,5.0,,,Nuria Llagostera Vives,Rika Fujiwara,2,"6-1,6-2",,2006-02-06,,Pattaya,,,,,120317,,60284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-THA-01A-2006,2006,Pattaya,T4,2006-02-06,,Hard,,,32,,,LS029,2006-02-06,R32,Aleksandra Wozniak,Na Li,CAN,CHN,,,6-3,6-1,,,310494,120330,W-T4-THA-01A-2006,2006,Aleksandra Wozniak,Na Li,CAN,CHN,,,Q,Aleksandra Wozniak,Na Li,2,"6-3,6-1",,2006-02-06,,Pattaya,,,,,310494,,120330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
