tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-WT-ITA-02A-1997,1997,Palermo,W,1997-07-14,,Clay,,,32,,,LS028,1997-07-14,R32,Barbara Paulus,Sandra Dopfer,AUT,AUT,1.0,,7-5,2-1,,,,,W-WT-ITA-02A-1997,1997,Barbara Paulus,Sandra Dopfer,AUT,AUT,1.0,,,Barbara Paulus,Sandra Dopfer,2,"7-5,2-1",,1997-07-14,,Palermo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ITA-02A-1997,1997,Palermo,W,1997-07-14,,Clay,,,32,,,LS029,1997-07-14,R32,Sandra Cecchini,Maria Jose Gaidano,ITA,ARG,,,6-4,6-3,,,,,W-WT-ITA-02A-1997,1997,Sandra Cecchini,Maria Jose Gaidano,ITA,ARG,,,,Sandra Cecchini,Maria Jose Gaidano,2,"6-4,6-3",,1997-07-14,,Palermo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ITA-02A-1997,1997,Palermo,W,1997-07-14,,Clay,,,32,,,LS031,1997-07-14,R32,Petra Begerow,Lea Ghirardi,GER,FRA,,,6-4,4-6,6-2,,20309,70191,W-WT-ITA-02A-1997,1997,Petra Begerow,Lea Ghirardi,GER,FRA,,,,Petra Begerow,Lea Ghirardi,3,"6-4,4-6,6-2",,1997-07-14,,Palermo,,,,,20309,,70191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ITA-02A-1997,1997,Palermo,W,1997-07-14,,Clay,,,32,,,LS030,1997-07-14,R32,Ines Gorrochategui,Francesca Lubiani,ARG,ITA,,7.0,6-4,7-5,,,,120227,W-WT-ITA-02A-1997,1997,Ines Gorrochategui,Francesca Lubiani,ARG,ITA,,7.0,,Ines Gorrochategui,Francesca Lubiani,2,"6-4,7-5",,1997-07-14,,Palermo,,,,,,,120227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ITA-02A-1997,1997,Palermo,W,1997-07-14,,Clay,,,32,,,LS025,1997-07-14,R32,Florencia Labat,Fabiola Zuluaga,ARG,COL,4.0,,3-6,6-2,6-0,,,260078,W-WT-ITA-02A-1997,1997,Florencia Labat,Fabiola Zuluaga,ARG,COL,4.0,,,Florencia Labat,Fabiola Zuluaga,3,"3-6,6-2,6-0",,1997-07-14,,Palermo,,,,,,,260078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ITA-02A-1997,1997,Palermo,W,1997-07-14,,Clay,,,32,,,LS024,1997-07-14,R32,Elena Makarova,Kristina Triska,RUS,SWE,,,6-3,6-2,,,,200236,W-WT-ITA-02A-1997,1997,Elena Makarova,Kristina Triska,RUS,SWE,,,,Elena Makarova,Kristina Triska,2,"6-3,6-2",,1997-07-14,,Palermo,,,,,,,200236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ITA-02A-1997,1997,Palermo,W,1997-07-14,,Clay,,,32,,,LS027,1997-07-14,R32,Stephanie De Ville,Laura Dellangelo,BEL,ITA,,,6-2,7-6,,,40203,40304,W-WT-ITA-02A-1997,1997,Stephanie De Ville,Laura Dellangelo,BEL,ITA,,,,Stephanie De Ville,Laura Dellangelo,2,"6-2,7-6",,1997-07-14,,Palermo,,,,,40203,,40304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ITA-02A-1997,1997,Palermo,W,1997-07-14,,Clay,,,32,,,LS026,1997-07-14,R32,Silvia Farina Elia,Elena Pampoulova,ITA,BUL,5.0,,2-6,6-4,6-2,,60061,,W-WT-ITA-02A-1997,1997,Silvia Farina Elia,Elena Pampoulova,ITA,BUL,5.0,,,Silvia Farina Elia,Elena Pampoulova,3,"2-6,6-4,6-2",,1997-07-14,,Palermo,,,,,60061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ITA-02A-1997,1997,Palermo,W,1997-07-14,,Clay,,,32,,,LS022,1997-07-14,R32,Virginia Ruano Pascual,Lenka Nemeckova,ESP,CZE,6.0,,7-6,6-3,,,180160,140117,W-WT-ITA-02A-1997,1997,Virginia Ruano Pascual,Lenka Nemeckova,ESP,CZE,6.0,,,Virginia Ruano Pascual,Lenka Nemeckova,2,"7-6,6-3",,1997-07-14,,Palermo,,,,,180160,,140117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-ITA-02A-1997,1997,Palermo,W,1997-07-14,,Clay,,,32,,,LS023,1997-07-14,R32,Gloria Pizzichini,Anca Barna,ITA,GER,,,7-6,6-3,,,160159,20113,W-WT-ITA-02A-1997,1997,Gloria Pizzichini,Anca Barna,ITA,GER,,,,Gloria Pizzichini,Anca Barna,2,"7-6,6-3",,1997-07-14,,Palermo,,,,,160159,,20113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
