tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-WT-USA-04A-1994,1994,Delray Beach,W,1994-02-28,,Hard,,,56,,,LS033,1994-02-28,R64,Marianne Werdel Witmeyer,Beverly Bowes,USA,USA,,,6-1,6-1,,,,,W-WT-USA-04A-1994,1994,Marianne Werdel Witmeyer,Beverly Bowes,USA,USA,,,,Marianne Werdel Witmeyer,Beverly Bowes,2,"6-1,6-1",,1994-02-28,,Delray Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-04A-1994,1994,Delray Beach,W,1994-02-28,,Hard,,,56,,,LS034,1994-02-28,R64,Elena Likhovtseva,Erika De Lone,RUS,USA,,,6-3,6-2,,,120151,40131,W-WT-USA-04A-1994,1994,Elena Likhovtseva,Erika De Lone,RUS,USA,,,,Elena Likhovtseva,Erika De Lone,2,"6-3,6-2",,1994-02-28,,Delray Beach,,,,,120151,,40131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-04A-1994,1994,Delray Beach,W,1994-02-28,,Hard,,,56,,,LS035,1994-02-28,R64,Yayuk Basuki,Michelle Jaggard Lai,INA,AUS,11.0,,6-4,1-6,6-4,,20016,,W-WT-USA-04A-1994,1994,Yayuk Basuki,Michelle Jaggard Lai,INA,AUS,11.0,,,Yayuk Basuki,Michelle Jaggard Lai,3,"6-4,1-6,6-4",,1994-02-28,,Delray Beach,,,,,20016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-04A-1994,1994,Delray Beach,W,1994-02-28,,Hard,,,56,,,LS038,1994-02-28,R64,Brenda Schultz Mccarthy,Katarina Studenikova,NED,SVK,13.0,,6-2,6-3,,,190038,,W-WT-USA-04A-1994,1994,Brenda Schultz Mccarthy,Katarina Studenikova,NED,SVK,13.0,,,Brenda Schultz Mccarthy,Katarina Studenikova,2,"6-2,6-3",,1994-02-28,,Delray Beach,,,,,190038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-04A-1994,1994,Delray Beach,W,1994-02-28,,Hard,,,56,,,LS039,1994-02-28,R64,Shaun Stafford,Larissa Schaerer,USA,PAR,,,4-6,6-0,6-1,,,190313,W-WT-USA-04A-1994,1994,Shaun Stafford,Larissa Schaerer,USA,PAR,,,,Shaun Stafford,Larissa Schaerer,3,"4-6,6-0,6-1",,1994-02-28,,Delray Beach,,,,,,,190313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-04A-1994,1994,Delray Beach,W,1994-02-28,,Hard,,,56,,,LS037,1994-02-28,R64,Julie Steven,Christina Papadaki,USA,GRE,,,4-6,7-5,6-3,,,,W-WT-USA-04A-1994,1994,Julie Steven,Christina Papadaki,USA,GRE,,,LL,Julie Steven,Christina Papadaki,3,"4-6,7-5,6-3",,1994-02-28,,Delray Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-04A-1994,1994,Delray Beach,W,1994-02-28,,Hard,,,56,,,LS045,1994-02-28,R64,Elena Savoldi,Nicole Arendt,ITA,USA,,,6-4,6-3,,,,,W-WT-USA-04A-1994,1994,Elena Savoldi,Nicole Arendt,ITA,USA,,,Q,Elena Savoldi,Nicole Arendt,2,"6-4,6-3",,1994-02-28,,Delray Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-04A-1994,1994,Delray Beach,W,1994-02-28,,Hard,,,56,,,LS046,1994-02-28,R64,Sonya Jeyaseelan,Nino Louarsabishvili,CAN,GEO,,,6-3,6-2,,,100049,,W-WT-USA-04A-1994,1994,Sonya Jeyaseelan,Nino Louarsabishvili,CAN,GEO,,,LL,Sonya Jeyaseelan,Nino Louarsabishvili,2,"6-3,6-2",,1994-02-28,,Delray Beach,,,,,100049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-04A-1994,1994,Delray Beach,W,1994-02-28,,Hard,,,56,,,LS047,1994-02-28,R64,Miriam Oremans,Romana Tedjakusuma,NED,INA,15.0,,6-7,6-4,6-2,,150066,180174,W-WT-USA-04A-1994,1994,Miriam Oremans,Romana Tedjakusuma,NED,INA,15.0,,,Miriam Oremans,Romana Tedjakusuma,3,"6-7,6-4,6-2",,1994-02-28,,Delray Beach,,,,,150066,,180174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-04A-1994,1994,Delray Beach,W,1994-02-28,,Hard,,,56,,,LS042,1994-02-28,R64,Florencia Labat,Melanie Bernard,ARG,CAN,,,5-7,6-0,6-1,,,,W-WT-USA-04A-1994,1994,Florencia Labat,Melanie Bernard,ARG,CAN,,,,Florencia Labat,Melanie Bernard,3,"5-7,6-0,6-1",,1994-02-28,,Delray Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
