tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T4-KOR-01A-2004,2004,Seoul,T4,2004-09-27,,Hard,,,32,,,LS016,2004-09-27,R32,Maria Sharapova,Emmanuelle Gagliardi,RUS,SUI,1.0,,6-1,6-3,,,310137,70245,W-T4-KOR-01A-2004,2004,Maria Sharapova,Emmanuelle Gagliardi,RUS,SUI,1.0,,,Maria Sharapova,Emmanuelle Gagliardi,2,"6-1,6-3",,2004-09-27,,Seoul,,,,,310137,,70245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-KOR-01A-2004,2004,Seoul,T4,2004-09-27,,Hard,,,32,,,LS017,2004-09-27,R32,Miho Saeki,Sunitha Rao,JPN,IND,,,6-3,4-6,7-6(5),,190491,180432,W-T4-KOR-01A-2004,2004,Miho Saeki,Sunitha Rao,JPN,IND,,,LL,Miho Saeki,Sunitha Rao,3,"6-3,4-6,7-6(5)",,2004-09-27,,Seoul,,,,,190491,,180432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-KOR-01A-2004,2004,Seoul,T4,2004-09-27,,Hard,,,32,,,LS019,2004-09-27,R32,Galina Voskoboeva,Milagros Sequera,KAZ,VEN,,,6-2,4-6,7-6(7),,310419,190562,W-T4-KOR-01A-2004,2004,Galina Voskoboeva,Milagros Sequera,KAZ,VEN,,,,Galina Voskoboeva,Milagros Sequera,3,"6-2,4-6,7-6(7)",,2004-09-27,,Seoul,,,,,310419,,190562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-KOR-01A-2004,2004,Seoul,T4,2004-09-27,,Hard,,,32,,,LS018,2004-09-27,R32,Samantha Stosur,Yoon Jeong Cho,AUS,KOR,8.0,,7-6(1),6-4,,,190787,30419,W-T4-KOR-01A-2004,2004,Samantha Stosur,Yoon Jeong Cho,AUS,KOR,8.0,,,Samantha Stosur,Yoon Jeong Cho,2,"7-6(1),6-4",,2004-09-27,,Seoul,,,,,190787,,30419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-KOR-01A-2004,2004,Seoul,T4,2004-09-27,,Hard,,,32,,,LS023,2004-09-27,R32,Catalina Castano,Mashona Washington,COL,USA,,4.0,5-7,6-4,6-4,,30360,230186,W-T4-KOR-01A-2004,2004,Catalina Castano,Mashona Washington,COL,USA,,4.0,,Catalina Castano,Mashona Washington,3,"5-7,6-4,6-4",,2004-09-27,,Seoul,,,,,30360,,230186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-KOR-01A-2004,2004,Seoul,T4,2004-09-27,,Hard,,,32,,,LS022,2004-09-27,R32,Sanda Mamic,Jin Hee Kim,CRO,KOR,,,6-3,6-0,,,130760,,W-T4-KOR-01A-2004,2004,Sanda Mamic,Jin Hee Kim,CRO,KOR,,,,Sanda Mamic,Jin Hee Kim,2,"6-3,6-0",,2004-09-27,,Seoul,,,,,130760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-KOR-01A-2004,2004,Seoul,T4,2004-09-27,,Hard,,,32,,,LS021,2004-09-27,R32,Rika Fujiwara,So Jung Kim,JPN,KOR,,,6-0,6-4,,,60284,310475,W-T4-KOR-01A-2004,2004,Rika Fujiwara,So Jung Kim,JPN,KOR,,,LL,Rika Fujiwara,So Jung Kim,2,"6-0,6-4",,2004-09-27,,Seoul,,,,,60284,,310475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-KOR-01A-2004,2004,Seoul,T4,2004-09-27,,Hard,,,32,,,LS020,2004-09-27,R32,Anne Kremer,Lubomira Kurhajcova,LUX,SVK,,6.0,4-6,6-1,6-3,,110242,110527,W-T4-KOR-01A-2004,2004,Anne Kremer,Lubomira Kurhajcova,LUX,SVK,,6.0,,Anne Kremer,Lubomira Kurhajcova,3,"4-6,6-1,6-3",,2004-09-27,,Seoul,,,,,110242,,110527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-KOR-01A-2004,2004,Seoul,T4,2004-09-27,,Hard,,,32,,,LS027,2004-09-27,R32,Yuka Yoshida,Saori Obata,JPN,JPN,,7.0,5-7,6-3,2-0,,250047,150103,W-T4-KOR-01A-2004,2004,Yuka Yoshida,Saori Obata,JPN,JPN,,7.0,,Yuka Yoshida,Saori Obata,3,"5-7,6-3,2-0",,2004-09-27,,Seoul,,,,,250047,,150103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-KOR-01A-2004,2004,Seoul,T4,2004-09-27,,Hard,,,32,,,LS026,2004-09-27,R32,Silvija Talaja,Adriana Serra Zanetti,CRO,ITA,,,6-3,6-4,,,200160,190276,W-T4-KOR-01A-2004,2004,Silvija Talaja,Adriana Serra Zanetti,CRO,ITA,,,,Silvija Talaja,Adriana Serra Zanetti,2,"6-3,6-4",,2004-09-27,,Seoul,,,,,200160,,190276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
