tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T5-AUS-01A-2003,2003,Hobart,T5,2003-01-06,,Hard,,,32,,,LS017,2003-01-06,R32,Katarina Srebotnik,Patricia Wartusch,SLO,AUT,1.0,,6-1,6-2,,,190636,230204,W-T5-AUS-01A-2003,2003,Katarina Srebotnik,Patricia Wartusch,SLO,AUT,1.0,,,Katarina Srebotnik,Patricia Wartusch,2,"6-1,6-2",,2003-01-06,,Hobart,,,,,190636,,230204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T5-AUS-01A-2003,2003,Hobart,T5,2003-01-06,,Hard,,,32,,,LS016,2003-01-06,R32,Alicia Molik,Martina Sucha,AUS,SVK,,,6-1,6-2,,,130548,190295,W-T5-AUS-01A-2003,2003,Alicia Molik,Martina Sucha,AUS,SVK,,,,Alicia Molik,Martina Sucha,2,"6-1,6-2",,2003-01-06,,Hobart,,,,,130548,,190295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T5-AUS-01A-2003,2003,Hobart,T5,2003-01-06,,Hard,,,32,,,LS019,2003-01-06,R32,Sarah Taylor,Mariana Diaz Oliva,USA,ARG,,,7-5,6-1,,,200276,40198,W-T5-AUS-01A-2003,2003,Sarah Taylor,Mariana Diaz Oliva,USA,ARG,,,,Sarah Taylor,Mariana Diaz Oliva,2,"7-5,6-1",,2003-01-06,,Hobart,,,,,200276,,40198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T5-AUS-01A-2003,2003,Hobart,T5,2003-01-06,,Hard,,,32,,,LS018,2003-01-06,R32,Vera Zvonareva,Asa Carlsson,RUS,SWE,5.0,,6-2,6-2,,,260142,,W-T5-AUS-01A-2003,2003,Vera Zvonareva,Asa Carlsson,RUS,SWE,5.0,,,Vera Zvonareva,Asa Carlsson,2,"6-2,6-2",,2003-01-06,,Hobart,,,,,260142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T5-AUS-01A-2003,2003,Hobart,T5,2003-01-06,,Hard,,,32,,,LS023,2003-01-06,R32,Barbara Schett,Tiffany Welford,AUT,AUS,3.0,,6-4,6-2,,,190349,230284,W-T5-AUS-01A-2003,2003,Barbara Schett,Tiffany Welford,AUT,AUS,3.0,,,Barbara Schett,Tiffany Welford,2,"6-4,6-2",,2003-01-06,,Hobart,,,,,190349,,230284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T5-AUS-01A-2003,2003,Hobart,T5,2003-01-06,,Hard,,,32,,,LS022,2003-01-06,R32,Shinobu Asagoe,Alina Jidkova,JPN,RUS,,,7-6(5),6-2,,,10209,260065,W-T5-AUS-01A-2003,2003,Shinobu Asagoe,Alina Jidkova,JPN,RUS,,,Q,Shinobu Asagoe,Alina Jidkova,2,"7-6(5),6-2",,2003-01-06,,Hobart,,,,,10209,,260065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T5-AUS-01A-2003,2003,Hobart,T5,2003-01-06,,Hard,,,32,,,LS020,2003-01-06,R32,Iveta Benesova,Antonella Serra Zanetti,CZE,ITA,,,6-3,2-6,6-3,,,190613,W-T5-AUS-01A-2003,2003,Iveta Benesova,Antonella Serra Zanetti,CZE,ITA,,,,Iveta Benesova,Antonella Serra Zanetti,3,"6-3,2-6,6-3",,2003-01-06,,Hobart,,,,,,,190613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T5-AUS-01A-2003,2003,Hobart,T5,2003-01-06,,Hard,,,32,,,LS021,2003-01-06,R32,Cara Black,Cindy Watson,ZIM,AUS,7.0,,6-2,7-6(4),,,20351,230208,W-T5-AUS-01A-2003,2003,Cara Black,Cindy Watson,ZIM,AUS,7.0,,,Cara Black,Cindy Watson,2,"6-2,7-6(4)",,2003-01-06,,Hobart,,,,,20351,,230208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T5-AUS-01A-2003,2003,Hobart,T5,2003-01-06,,Hard,,,32,,,LS030,2003-01-06,R32,Jill Craybas,Marta Marrero,USA,ESP,8.0,,6-1,6-1,,,30294,130616,W-T5-AUS-01A-2003,2003,Jill Craybas,Marta Marrero,USA,ESP,8.0,,,Jill Craybas,Marta Marrero,2,"6-1,6-1",,2003-01-06,,Hobart,,,,,30294,,130616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T5-AUS-01A-2003,2003,Hobart,T5,2003-01-06,,Hard,,,32,,,LS031,2003-01-06,R32,Cristina Torrens Valero,Zsofia Gubacsi,ESP,HUN,,,3-6,6-4,6-4,,200122,70393,W-T5-AUS-01A-2003,2003,Cristina Torrens Valero,Zsofia Gubacsi,ESP,HUN,,,,Cristina Torrens Valero,Zsofia Gubacsi,3,"3-6,6-4,6-4",,2003-01-06,,Hobart,,,,,200122,,70393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
