tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-WT-USA-06A-1995,1995,Hilton Head,W,1995-03-27,,Clay,,,56,,,LS053,1995-03-27,R64,Ruxandra Dragomir Ilie,Ludmila Richterova,ROU,CZE,,,6-4,6-2,,,40163,180252,W-WT-USA-06A-1995,1995,Ruxandra Dragomir Ilie,Ludmila Richterova,ROU,CZE,,,,Ruxandra Dragomir Ilie,Ludmila Richterova,2,"6-4,6-2",,1995-03-27,,Hilton Head,,,,,40163,,180252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-06A-1995,1995,Hilton Head,W,1995-03-27,,Clay,,,56,,,LS055,1995-03-27,R64,Katarzyna Nowak,Alexandra Fusai,POL,FRA,,,7-5,7-5,,,,60127,W-WT-USA-06A-1995,1995,Katarzyna Nowak,Alexandra Fusai,POL,FRA,,,,Katarzyna Nowak,Alexandra Fusai,2,"7-5,7-5",,1995-03-27,,Hilton Head,,,,,,,60127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-06A-1995,1995,Hilton Head,W,1995-03-27,,Clay,,,56,,,LS054,1995-03-27,R64,Amanda Coetzer,Tatiana Ignatieva,RSA,BLR,10.0,,5-7,6-3,6-4,,30037,,W-WT-USA-06A-1995,1995,Amanda Coetzer,Tatiana Ignatieva,RSA,BLR,10.0,,,Amanda Coetzer,Tatiana Ignatieva,3,"5-7,6-3,6-4",,1995-03-27,,Hilton Head,,,,,30037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-06A-1995,1995,Hilton Head,W,1995-03-27,,Clay,,,56,,,LS051,1995-03-27,R64,Anna Smashnova,Zina Garrison,ISR,USA,,12.0,6-1,2-6,6-4,,190361,,W-WT-USA-06A-1995,1995,Anna Smashnova,Zina Garrison,ISR,USA,,12.0,,Anna Smashnova,Zina Garrison,3,"6-1,2-6,6-4",,1995-03-27,,Hilton Head,,,,,190361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-06A-1995,1995,Hilton Head,W,1995-03-27,,Clay,,,56,,,LS050,1995-03-27,R64,Chanda Rubin,Radomira Zrubakova,USA,SVK,,,6-2,6-1,,,180175,,W-WT-USA-06A-1995,1995,Chanda Rubin,Radomira Zrubakova,USA,SVK,,,,Chanda Rubin,Radomira Zrubakova,2,"6-2,6-1",,1995-03-27,,Hilton Head,,,,,180175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-06A-1995,1995,Hilton Head,W,1995-03-27,,Clay,,,56,,,LS049,1995-03-27,R64,Rachel Mcquillan,Neus Avila Bonastre,AUS,ESP,,,3-6,6-1,6-0,,130050,,W-WT-USA-06A-1995,1995,Rachel Mcquillan,Neus Avila Bonastre,AUS,ESP,,,,Rachel Mcquillan,Neus Avila Bonastre,3,"3-6,6-1,6-0",,1995-03-27,,Hilton Head,,,,,130050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-06A-1995,1995,Hilton Head,W,1995-03-27,,Clay,,,56,,,LS060,1995-03-27,R64,Lea Ghirardi,Debbie Graham,FRA,USA,,,6-2,2-6,6-3,,70191,,W-WT-USA-06A-1995,1995,Lea Ghirardi,Debbie Graham,FRA,USA,,,Q,Lea Ghirardi,Debbie Graham,3,"6-2,2-6,6-3",,1995-03-27,,Hilton Head,,,,,70191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-06A-1995,1995,Hilton Head,W,1995-03-27,,Clay,,,56,,,LS062,1995-03-27,R64,Sarah Pitkowski Malcor,Radka Bobkova,FRA,CZE,,,3-6,6-2,6-1,,160200,20114,W-WT-USA-06A-1995,1995,Sarah Pitkowski Malcor,Radka Bobkova,FRA,CZE,,,Q,Sarah Pitkowski Malcor,Radka Bobkova,3,"3-6,6-2,6-1",,1995-03-27,,Hilton Head,,,,,160200,,20114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-06A-1995,1995,Hilton Head,W,1995-03-27,,Clay,,,56,,,LS063,1995-03-27,R64,Lindsay Lee Waters,Sandra Cecchini,USA,ITA,,15.0,6-3,6-2,,,120281,,W-WT-USA-06A-1995,1995,Lindsay Lee Waters,Sandra Cecchini,USA,ITA,,15.0,WC,Lindsay Lee Waters,Sandra Cecchini,2,"6-3,6-2",,1995-03-27,,Hilton Head,,,,,120281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-WT-USA-06A-1995,1995,Hilton Head,W,1995-03-27,,Clay,,,56,,,LS058,1995-03-27,R64,Petra Schwarz,Sabine Appelmans,AUT,BEL,,14.0,6-2,2-6,6-3,,,10021,W-WT-USA-06A-1995,1995,Petra Schwarz,Sabine Appelmans,AUT,BEL,,14.0,,Petra Schwarz,Sabine Appelmans,3,"6-2,2-6,6-3",,1995-03-27,,Hilton Head,,,,,,,10021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
