tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T3-INA-01A-2004,2004,Bali,T3,2004-09-13,,Hard,,,30,,,LS028,2004-09-13,R32,Maria Elena Camerin,Tina Pisnik,ITA,SLO,,,7-5,6-2,,,30462,160339,W-T3-INA-01A-2004,2004,Maria Elena Camerin,Tina Pisnik,ITA,SLO,,,,Maria Elena Camerin,Tina Pisnik,2,"7-5,6-2",,2004-09-13,,Bali,,,,,30462,,160339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2004,2004,Bali,T3,2004-09-13,,Hard,,,30,,,LS031,2004-09-13,R32,Flavia Pennetta,Nicole Pratt,ITA,AUS,,,7-6(2),6-4,,,160391,160078,W-T3-INA-01A-2004,2004,Flavia Pennetta,Nicole Pratt,ITA,AUS,,,,Flavia Pennetta,Nicole Pratt,2,"7-6(2),6-4",,2004-09-13,,Bali,,,,,160391,,160078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2004,2004,Bali,T3,2004-09-13,,Hard,,,30,,,LS030,2004-09-13,R32,Gisela Dulko,Ayu Fani Damayanti,ARG,INA,7.0,,6-3,6-1,,,40388,311462,W-T3-INA-01A-2004,2004,Gisela Dulko,Ayu Fani Damayanti,ARG,INA,7.0,,,Gisela Dulko,Ayu Fani Damayanti,2,"6-3,6-1",,2004-09-13,,Bali,,,,,40388,,311462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2004,2004,Bali,T3,2004-09-13,,Hard,,,30,,,LS025,2004-09-13,R32,Aiko Nakamura,Ai Sugiyama,JPN,JPN,,3.0,6-4,7-6(1),,,140219,190353,W-T3-INA-01A-2004,2004,Aiko Nakamura,Ai Sugiyama,JPN,JPN,,3.0,Q,Aiko Nakamura,Ai Sugiyama,2,"6-4,7-6(1)",,2004-09-13,,Bali,,,,,140219,,190353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2004,2004,Bali,T3,2004-09-13,,Hard,,,30,,,LS024,2004-09-13,R32,Marlene Weingartner,Marta Domachowska,GER,POL,,,6-3,6-4,,,230202,310338,W-T3-INA-01A-2004,2004,Marlene Weingartner,Marta Domachowska,GER,POL,,,,Marlene Weingartner,Marta Domachowska,2,"6-3,6-4",,2004-09-13,,Bali,,,,,230202,,310338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2004,2004,Bali,T3,2004-09-13,,Hard,,,30,,,LS027,2004-09-13,R32,Kristina Brandi,Saori Obata,PUR,JPN,,,6-1,6-2,,,20323,150103,W-T3-INA-01A-2004,2004,Kristina Brandi,Saori Obata,PUR,JPN,,,,Kristina Brandi,Saori Obata,2,"6-1,6-2",,2004-09-13,,Bali,,,,,20323,,150103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2004,2004,Bali,T3,2004-09-13,,Hard,,,30,,,LS026,2004-09-13,R32,Yoon Jeong Cho,Maria Vento Kabchi,KOR,VEN,,6.0,7-5,6-1,,,30419,220070,W-T3-INA-01A-2004,2004,Yoon Jeong Cho,Maria Vento Kabchi,KOR,VEN,,6.0,SR,Yoon Jeong Cho,Maria Vento Kabchi,2,"7-5,6-1",,2004-09-13,,Bali,,,,,30419,,220070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2004,2004,Bali,T3,2004-09-13,,Hard,,,30,,,LS022,2004-09-13,R32,Tathiana Garbin,Chanda Rubin,ITA,USA,,5.0,6-1,6-4,,,30348,180175,W-T3-INA-01A-2004,2004,Tathiana Garbin,Chanda Rubin,ITA,USA,,5.0,,Tathiana Garbin,Chanda Rubin,2,"6-1,6-4",,2004-09-13,,Bali,,,,,30348,,180175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2004,2004,Bali,T3,2004-09-13,,Hard,,,30,,,LS023,2004-09-13,R32,Marion Bartoli,Anabel Medina Garrigues,FRA,ESP,,,7-6(5),6-2,,,20631,130611,W-T3-INA-01A-2004,2004,Marion Bartoli,Anabel Medina Garrigues,FRA,ESP,,,,Marion Bartoli,Anabel Medina Garrigues,2,"7-6(5),6-2",,2004-09-13,,Bali,,,,,20631,,130611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T3-INA-01A-2004,2004,Bali,T3,2004-09-13,,Hard,,,30,,,LS021,2004-09-13,R32,Marta Marrero,Jill Craybas,ESP,USA,,,6-4,5-7,6-1,,130616,30294,W-T3-INA-01A-2004,2004,Marta Marrero,Jill Craybas,ESP,USA,,,,Marta Marrero,Jill Craybas,3,"6-4,5-7,6-1",,2004-09-13,,Bali,,,,,130616,,30294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
