tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T4-SWE-01A-2006,2006,Stockholm,T4,2006-08-07,,Hard,,,32,,,LS024,2006-08-07,R32,Anastasia Myskina,Alicia Molik,RUS,AUS,1.0,,7-6(5),6-3,,,130533,130548,W-T4-SWE-01A-2006,2006,Anastasia Myskina,Alicia Molik,RUS,AUS,1.0,,,Anastasia Myskina,Alicia Molik,2,"7-6(5),6-3",,2006-08-07,,Stockholm,,,,,130533,,130548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-SWE-01A-2006,2006,Stockholm,T4,2006-08-07,,Hard,,,32,,,LS025,2006-08-07,R32,Urszula Radwanska,Ekaterina Bychkova,POL,RUS,,,6-2,6-2,,,313131,20706,W-T4-SWE-01A-2006,2006,Urszula Radwanska,Ekaterina Bychkova,POL,RUS,,,Q,Urszula Radwanska,Ekaterina Bychkova,2,"6-2,6-2",,2006-08-07,,Stockholm,,,,,313131,,20706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-SWE-01A-2006,2006,Stockholm,T4,2006-08-07,,Hard,,,32,,,LS027,2006-08-07,R32,Emmanuelle Gagliardi,Katerina Bohmova,SUI,CZE,,,0-6,6-3,6-1,,70245,310979,W-T4-SWE-01A-2006,2006,Emmanuelle Gagliardi,Katerina Bohmova,SUI,CZE,,,,Emmanuelle Gagliardi,Katerina Bohmova,3,"0-6,6-3,6-1",,2006-08-07,,Stockholm,,,,,70245,,310979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-SWE-01A-2006,2006,Stockholm,T4,2006-08-07,,Hard,,,32,,,LS026,2006-08-07,R32,Martina Sucha,Klara Koukalova,SVK,CZE,,8.0,7-6(3),2-6,6-4,,190295,110492,W-T4-SWE-01A-2006,2006,Martina Sucha,Klara Koukalova,SVK,CZE,,8.0,,Martina Sucha,Klara Koukalova,3,"7-6(3),2-6,6-4",,2006-08-07,,Stockholm,,,,,190295,,110492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-SWE-01A-2006,2006,Stockholm,T4,2006-08-07,,Hard,,,32,,,LS028,2006-08-07,R32,Sofia Arvidsson,Emma Laine,SWE,FIN,4.0,,7-5,4-6,7-5,,10334,310237,W-T4-SWE-01A-2006,2006,Sofia Arvidsson,Emma Laine,SWE,FIN,4.0,,,Sofia Arvidsson,Emma Laine,3,"7-5,4-6,7-5",,2006-08-07,,Stockholm,,,,,10334,,310237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-SWE-01A-2006,2006,Stockholm,T4,2006-08-07,,Hard,,,32,,,LS029,2006-08-07,R32,Johanna Larsson,Kristina Barrois,SWE,GER,,,4-6,7-5,7-5,,311593,312578,W-T4-SWE-01A-2006,2006,Johanna Larsson,Kristina Barrois,SWE,GER,,,WC,Johanna Larsson,Kristina Barrois,3,"4-6,7-5,7-5",,2006-08-07,,Stockholm,,,,,311593,,312578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-SWE-01A-2006,2006,Stockholm,T4,2006-08-07,,Hard,,,32,,,LS030,2006-08-07,R32,Eva Birnerova,Sandra Kloesel,CZE,GER,,,6-4,6-2,,,20596,110325,W-T4-SWE-01A-2006,2006,Eva Birnerova,Sandra Kloesel,CZE,GER,,,,Eva Birnerova,Sandra Kloesel,2,"6-4,6-2",,2006-08-07,,Stockholm,,,,,20596,,110325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-SWE-01A-2006,2006,Stockholm,T4,2006-08-07,,Hard,,,32,,,LS031,2006-08-07,R32,Jarmila Gajdosova,Anastasia Yakimova,AUS,BLR,,6.0,6-2,6-3,,,,310626,W-T4-SWE-01A-2006,2006,Jarmila Gajdosova,Anastasia Yakimova,AUS,BLR,,6.0,,Jarmila Gajdosova,Anastasia Yakimova,2,"6-2,6-3",,2006-08-07,,Stockholm,,,,,,,310626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-SWE-01A-2006,2006,Stockholm,T4,2006-08-07,,Hard,,,32,,,LS018,2006-08-07,R32,Caroline Wozniacki,Iveta Benesova,DEN,CZE,,7.0,6-2,6-0,,,313402,,W-T4-SWE-01A-2006,2006,Caroline Wozniacki,Iveta Benesova,DEN,CZE,,7.0,WC,Caroline Wozniacki,Iveta Benesova,2,"6-2,6-0",,2006-08-07,,Stockholm,,,,,313402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-SWE-01A-2006,2006,Stockholm,T4,2006-08-07,,Hard,,,32,,,LS019,2006-08-07,R32,Eleni Daniilidou,Stephanie Cohen Aloro,GRE,FRA,,,6-2,5-7,6-4,,40313,30501,W-T4-SWE-01A-2006,2006,Eleni Daniilidou,Stephanie Cohen Aloro,GRE,FRA,,,,Eleni Daniilidou,Stephanie Cohen Aloro,3,"6-2,5-7,6-4",,2006-08-07,,Stockholm,,,,,40313,,30501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
