tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T4-IND-01A-2003,2003,Hyderabad,T4,2003-02-03,,Hard,,,32,,,LS028,2003-02-03,R32,Akiko Morigami,Clarisa Fernandez,JPN,ARG,,1.0,6-2,6-4,,,130541,60285,W-T4-IND-01A-2003,2003,Akiko Morigami,Clarisa Fernandez,JPN,ARG,,1.0,,Akiko Morigami,Clarisa Fernandez,2,"6-2,6-4",,2003-02-03,,Hyderabad,,,,,130541,,60285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-IND-01A-2003,2003,Hyderabad,T4,2003-02-03,,Hard,,,32,,,LS029,2003-02-03,R32,Andreea Ehritt Vanc,Julia Vakulenko,ROU,UKR,,,6-4,6-2,,,220122,220248,W-T4-IND-01A-2003,2003,Andreea Ehritt Vanc,Julia Vakulenko,ROU,UKR,,,,Andreea Ehritt Vanc,Julia Vakulenko,2,"6-4,6-2",,2003-02-03,,Hyderabad,,,,,220122,,220248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-IND-01A-2003,2003,Hyderabad,T4,2003-02-03,,Hard,,,32,,,LS031,2003-02-03,R32,Tian Tian Sun,Renata Voracova,CHN,CZE,,,6-2,6-2,,,190817,220277,W-T4-IND-01A-2003,2003,Tian Tian Sun,Renata Voracova,CHN,CZE,,,LL,Tian Tian Sun,Renata Voracova,2,"6-2,6-2",,2003-02-03,,Hyderabad,,,,,190817,,220277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-IND-01A-2003,2003,Hyderabad,T4,2003-02-03,,Hard,,,32,,,LS030,2003-02-03,R32,Silvija Talaja,Wynne Prakusya,CRO,INA,8.0,,6-3,6-4,,,200160,160318,W-T4-IND-01A-2003,2003,Silvija Talaja,Wynne Prakusya,CRO,INA,8.0,,,Silvija Talaja,Wynne Prakusya,2,"6-3,6-4",,2003-02-03,,Hyderabad,,,,,200160,,160318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-IND-01A-2003,2003,Hyderabad,T4,2003-02-03,,Hard,,,32,,,LS026,2003-02-03,R32,Tzipi Obziler,Elena Likhovtseva,ISR,RUS,,3.0,6-2,6-3,,,,120151,W-T4-IND-01A-2003,2003,Tzipi Obziler,Elena Likhovtseva,ISR,RUS,,3.0,,Tzipi Obziler,Elena Likhovtseva,2,"6-2,6-3",,2003-02-03,,Hyderabad,,,,,,,120151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-IND-01A-2003,2003,Hyderabad,T4,2003-02-03,,Hard,,,32,,,LS027,2003-02-03,R32,Antonella Serra Zanetti,Eugenia Kulikovskaya,ITA,RUS,,,6-7(10),7-5,6-0,,190613,110303,W-T4-IND-01A-2003,2003,Antonella Serra Zanetti,Eugenia Kulikovskaya,ITA,RUS,,,,Antonella Serra Zanetti,Eugenia Kulikovskaya,3,"6-7(10),7-5,6-0",,2003-02-03,,Hyderabad,,,,,190613,,110303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-IND-01A-2003,2003,Hyderabad,T4,2003-02-03,,Hard,,,32,,,LS025,2003-02-03,R32,Saori Obata,Adriana Serra Zanetti,JPN,ITA,,,7-5,6-3,,,150103,190276,W-T4-IND-01A-2003,2003,Saori Obata,Adriana Serra Zanetti,JPN,ITA,,,,Saori Obata,Adriana Serra Zanetti,2,"7-5,6-3",,2003-02-03,,Hyderabad,,,,,150103,,190276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-IND-01A-2003,2003,Hyderabad,T4,2003-02-03,,Hard,,,32,,,LS024,2003-02-03,R32,Iroda Tulyaganova,Katalin Marosi,UZB,HUN,5.0,,6-3,6-3,,,200265,130497,W-T4-IND-01A-2003,2003,Iroda Tulyaganova,Katalin Marosi,UZB,HUN,5.0,,,Iroda Tulyaganova,Katalin Marosi,2,"6-3,6-3",,2003-02-03,,Hyderabad,,,,,200265,,130497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-IND-01A-2003,2003,Hyderabad,T4,2003-02-03,,Hard,,,32,,,LS021,2003-02-03,R32,Cristina Torrens Valero,Mi Ra Jeon,ESP,KOR,6.0,,7-5,6-0,,,200122,100089,W-T4-IND-01A-2003,2003,Cristina Torrens Valero,Mi Ra Jeon,ESP,KOR,6.0,,,Cristina Torrens Valero,Mi Ra Jeon,2,"7-5,6-0",,2003-02-03,,Hyderabad,,,,,200122,,100089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T4-IND-01A-2003,2003,Hyderabad,T4,2003-02-03,,Hard,,,32,,,LS020,2003-02-03,R32,Flavia Pennetta,Martina Sucha,ITA,SVK,,,1-6,6-3,6-2,,160391,190295,W-T4-IND-01A-2003,2003,Flavia Pennetta,Martina Sucha,ITA,SVK,,,,Flavia Pennetta,Martina Sucha,3,"1-6,6-3,6-2",,2003-02-03,,Hyderabad,,,,,160391,,190295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
