tourney_id,tourney_year,tourney_name,level,start_date,end_date,surface,city,country,singles_draw_size,prize_money,prize_money_currency,match_id,date,round,winner,loser,winner_country,loser_country,winner_seed,loser_seed,set1_score,set2_score,set3_score,indoor_outdoor,player_id_winner,player_id_loser,event_id,event_year,player_a,player_b,country_a,country_b,seed_a,seed_b,winner_flag_raw,winner_player_name,loser_player_name,num_sets,score_string,match_timestamp,match_date,match_time_total,tournament_name,tournament_title,liveScoringId,venue_id,venue_name,PlayerIDA,PlayerIDA2,PlayerIDB,PlayerIDB2,settime_set1,winner_score_set1,loser_score_set1,winner_scoret_set1,loser_scoret_set1,winner_aces_set1,loser_aces_set1,winner_dblflt_set1,loser_dblflt_set1,winner_ptswon1stserv_set1,loser_ptswon1stserv_set1,winner_ptsplayed1stserv_set1,loser_ptsplayed1stserv_set1,winner_ptstotwonserv_set1,loser_ptstotwonserv_set1,winner_totservplayed_set1,loser_totservplayed_set1,winner_breakptsconv_set1,loser_breakptsconv_set1,winner_breakptsplayed_set1,loser_breakptsplayed_set1,winner_servgamesplayed_set1,loser_servgamesplayed_set1,winner_pts1stservlost_set1,loser_pts1stservlost_set1,winner_totptswon_set1,loser_totptswon_set1,winner_acesss_set1,loser_acesss_set1,settime_set2,winner_score_set2,loser_score_set2,winner_scoret_set2,loser_scoret_set2,winner_aces_set2,loser_aces_set2,winner_dblflt_set2,loser_dblflt_set2,winner_ptswon1stserv_set2,loser_ptswon1stserv_set2,winner_ptsplayed1stserv_set2,loser_ptsplayed1stserv_set2,winner_ptstotwonserv_set2,loser_ptstotwonserv_set2,winner_totservplayed_set2,loser_totservplayed_set2,winner_breakptsconv_set2,loser_breakptsconv_set2,winner_breakptsplayed_set2,loser_breakptsplayed_set2,winner_servgamesplayed_set2,loser_servgamesplayed_set2,winner_pts1stservlost_set2,loser_pts1stservlost_set2,winner_totptswon_set2,loser_totptswon_set2,winner_acesss_set2,loser_acesss_set2,settime_set3,winner_score_set3,loser_score_set3,winner_scoret_set3,loser_scoret_set3,winner_aces_set3,loser_aces_set3,winner_dblflt_set3,loser_dblflt_set3,winner_ptswon1stserv_set3,loser_ptswon1stserv_set3,winner_ptsplayed1stserv_set3,loser_ptsplayed1stserv_set3,winner_ptstotwonserv_set3,loser_ptstotwonserv_set3,winner_totservplayed_set3,loser_totservplayed_set3,winner_breakptsconv_set3,loser_breakptsconv_set3,winner_breakptsplayed_set3,loser_breakptsplayed_set3,winner_servgamesplayed_set3,loser_servgamesplayed_set3,winner_pts1stservlost_set3,loser_pts1stservlost_set3,winner_totptswon_set3,loser_totptswon_set3,winner_acesss_set3,loser_acesss_set3,settime_set4,winner_score_set4,loser_score_set4,winner_scoret_set4,loser_scoret_set4,winner_aces_set4,loser_aces_set4,winner_dblflt_set4,loser_dblflt_set4,winner_ptswon1stserv_set4,loser_ptswon1stserv_set4,winner_ptsplayed1stserv_set4,loser_ptsplayed1stserv_set4,winner_ptstotwonserv_set4,loser_ptstotwonserv_set4,winner_totservplayed_set4,loser_totservplayed_set4,winner_breakptsconv_set4,loser_breakptsconv_set4,winner_breakptsplayed_set4,loser_breakptsplayed_set4,winner_servgamesplayed_set4,loser_servgamesplayed_set4,winner_pts1stservlost_set4,loser_pts1stservlost_set4,winner_totptswon_set4,loser_totptswon_set4,winner_acesss_set4,loser_acesss_set4,aces_set1,aces_set2,aces_set3,dblflt_set1,dblflt_set2,dblflt_set3,match_message,match_status,set4_score,set5_score,winner_flag,doublefaults_tot_winner,doublefaults_tot_loser,aces_tot_winner,aces_tot_loser,firstserve_dividend_tot_winner,firstserve_dividend_tot_loser,firstserve_divisor_tot_winner,firstserve_divisor_tot_loser,firstserve_percent_tot_winner,firstserve_percent_tot_loser,firstservepointswon_dividend_tot_winner,firstservepointswon_dividend_tot_loser,firstservepointswon_divisor_tot_winner,firstservepointswon_divisor_tot_loser,firstservepointswon_percent_tot_winner,firstservepointswon_percent_tot_loser,secondservepointswon_percent_tot_winner,secondservepointswon_dividend_tot_winner,secondservepointswon_divisor_tot_winner,secondservepointswon_percent_tot_loser,secondservepointswon_dividend_tot_loser,secondservepointswon_divisor_tot_loser,breakpointssaved_dividend_tot_winner,breakpointssaved_divisor_tot_winner,breakpointssaved_percent_tot_winner,servicegamesplayed_tot_winner,servicegamesplayed_tot_loser,serverating_tot_winner,serverating_tot_loser,totalservicepointswon_dividend_tot_winner,totalservicepointswon_percent_tot_winner,totalreturnpointswon_percent_tot_winner,totalpointswon_percent_tot_winner,tiebreak_set1_winner,tiebreak_set1_loser,tiebreak_set2_winner,tiebreak_set2_loser,tiebreak_set3_winner,tiebreak_set3_loser,player_winner,player_loser,country_winner,country_loser,seed_winner,seed_loser,serveratinglink_tot_winner,serveratinglink_tot_loser,breakpointssaved_percent_tot_loser,breakpointssaved_dividend_tot_loser,breakpointssaved_divisor_tot_loser
W-T2-LUX-01A-2005,2005,Luxembourg,T2,2005-09-26,,Hard,,,28,,,LS024,2005-09-26,R32,Anna Lena Groenefeld,Eleni Daniilidou,GER,GRE,,,6-4,6-4,,,310318,40313,W-T2-LUX-01A-2005,2005,Anna Lena Groenefeld,Eleni Daniilidou,GER,GRE,,,,Anna Lena Groenefeld,Eleni Daniilidou,2,"6-4,6-4",,2005-09-26,,Luxembourg,,,,,310318,,40313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-LUX-01A-2005,2005,Luxembourg,T2,2005-09-26,,Hard,,,28,,,LS027,2005-09-26,R32,Kveta Peschke,Samantha Stosur,CZE,AUS,,,6-7(1),7-5,6-1,,80218,190787,W-T2-LUX-01A-2005,2005,Kveta Peschke,Samantha Stosur,CZE,AUS,,,,Kveta Peschke,Samantha Stosur,3,"6-7(1),7-5,6-1",,2005-09-26,,Luxembourg,,,,,80218,,190787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-LUX-01A-2005,2005,Luxembourg,T2,2005-09-26,,Hard,,,28,,,LS008,2005-09-26,R16,Kim Clijsters,Klara Koukalova,BEL,CZE,1.0,,6-3,6-0,,,30458,110492,W-T2-LUX-01A-2005,2005,Kim Clijsters,Klara Koukalova,BEL,CZE,1.0,,,Kim Clijsters,Klara Koukalova,2,"6-3,6-0",,2005-09-26,,Luxembourg,,,,,30458,,110492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-LUX-01A-2005,2005,Luxembourg,T2,2005-09-26,,Hard,,,28,,,LS009,2005-09-26,R16,Francesca Schiavone,Virginie Razzano,ITA,FRA,6.0,,6-2,,,,190666,180384,W-T2-LUX-01A-2005,2005,Francesca Schiavone,Virginie Razzano,ITA,FRA,6.0,,,Francesca Schiavone,Virginie Razzano,1,6-2,,2005-09-26,,Luxembourg,,,,,190666,,180384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-LUX-01A-2005,2005,Luxembourg,T2,2005-09-26,,Hard,,,28,,,LS010,2005-09-26,R16,Nathalie Dechy,Dally Randriantefy,FRA,MAD,4.0,,6-1,6-2,,,40254,180234,W-T2-LUX-01A-2005,2005,Nathalie Dechy,Dally Randriantefy,FRA,MAD,4.0,,,Nathalie Dechy,Dally Randriantefy,2,"6-1,6-2",,2005-09-26,,Luxembourg,,,,,40254,,180234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-LUX-01A-2005,2005,Luxembourg,T2,2005-09-26,,Hard,,,28,,,LS011,2005-09-26,R16,Daniela Hantuchova,Anna Chakvetadze,SVK,RUS,5.0,,6-4,6-1,,,80394,310623,W-T2-LUX-01A-2005,2005,Daniela Hantuchova,Anna Chakvetadze,SVK,RUS,5.0,,,Daniela Hantuchova,Anna Chakvetadze,2,"6-4,6-1",,2005-09-26,,Luxembourg,,,,,80394,,310623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-LUX-01A-2005,2005,Luxembourg,T2,2005-09-26,,Hard,,,28,,,LS014,2005-09-26,R16,Dinara Safina,Jarmila Gajdosova,RUS,AUS,7.0,,6-3,6-1,,,190950,,W-T2-LUX-01A-2005,2005,Dinara Safina,Jarmila Gajdosova,RUS,AUS,7.0,,,Dinara Safina,Jarmila Gajdosova,2,"6-3,6-1",,2005-09-26,,Luxembourg,,,,,190950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-LUX-01A-2005,2005,Luxembourg,T2,2005-09-26,,Hard,,,28,,,LS015,2005-09-26,R16,Roberta Vinci,Patty Schnyder,ITA,SUI,,3.0,7-6(2),5-7,6-4,,220214,190519,W-T2-LUX-01A-2005,2005,Roberta Vinci,Patty Schnyder,ITA,SUI,,3.0,,Roberta Vinci,Patty Schnyder,3,"7-6(2),5-7,6-4",,2005-09-26,,Luxembourg,,,,,220214,,190519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-LUX-01A-2005,2005,Luxembourg,T2,2005-09-26,,Hard,,,28,,,LS012,2005-09-26,R16,Anna Lena Groenefeld,Anna Smashnova,GER,ISR,,,6-1,6-2,,,310318,190361,W-T2-LUX-01A-2005,2005,Anna Lena Groenefeld,Anna Smashnova,GER,ISR,,,,Anna Lena Groenefeld,Anna Smashnova,2,"6-1,6-2",,2005-09-26,,Luxembourg,,,,,310318,,190361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-LUX-01A-2005,2005,Luxembourg,T2,2005-09-26,,Hard,,,28,,,LS013,2005-09-26,R16,Nadia Petrova,Kveta Peschke,RUS,CZE,2.0,,6-3,6-1,,,160379,80218,W-T2-LUX-01A-2005,2005,Nadia Petrova,Kveta Peschke,RUS,CZE,2.0,,,Nadia Petrova,Kveta Peschke,2,"6-3,6-1",,2005-09-26,,Luxembourg,,,,,160379,,80218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-LUX-01A-2005,2005,Luxembourg,T2,2005-09-26,,Hard,,,28,,,LS004,2005-09-26,QF,Kim Clijsters,Francesca Schiavone,BEL,ITA,1.0,6.0,6-4,7-5,,,30458,190666,W-T2-LUX-01A-2005,2005,Kim Clijsters,Francesca Schiavone,BEL,ITA,1.0,6.0,,Kim Clijsters,Francesca Schiavone,2,"6-4,7-5",,2005-09-26,,Luxembourg,,,,,30458,,190666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-T2-LUX-01A-2005,2005,Luxembourg,T2,2005-09-26,,Hard,,,28,,,LS005,2005-09-26,QF,Nathalie Dechy,Daniela Hantuchova,FRA,SVK,4.0,5.0,6-1,6-4,,,40254,80394,W-T2-LUX-01A-2005,2005,Nathalie Dechy,Daniela Hantuchova,FRA,SVK,4.0,5.0,,Nathalie Dechy,Daniela Hantuchova,2,"6-1,6-4",,2005-09-26,,Luxembourg,,,,,40254,,80394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
